source,comparison_protocol,map,slip,method,method_group,n_states,n_boundary,rate_budget_boundary_frac,state_compression_ratio,planning_speedup,total_speedup,start_gap,normalized_start_gap,value_gap_max,normalized_value_gap_max,hidden_audit,normalized_hidden_audit,audit_metric,success_rate,group_feasible,budget_label,pareto_nondominated,pareto_dominated_by,representation_scope
core_benchmark,core_benchmark,open_room_7,0.0,full_vi,full_mdp,49.0,49.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,group_constrained_rd;eigenoptions_sqrt;betweenness_sqrt;random_landmarks_sqrt;coverage_sqrt,
core_benchmark,core_benchmark,open_room_7,0.0,graph_rd_joint,ours:rd_graph,49.0,2.0,0.04081632653061224,24.5,107.23774062643567,0.0594707802608455,1.7763568394002505e-15,5.3290705182007555e-17,1.7763568394002505e-15,5.3290705182007555e-17,1.0,0.02040816326530612,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,True,,
core_benchmark,core_benchmark,open_room_7,0.0,graph_rd_surrogate_joint,ours:rd_graph,49.0,2.0,0.04081632653061224,24.5,104.94021440295585,0.1932998564848157,1.7763568394002505e-15,5.3290705182007555e-17,1.7763568394002505e-15,5.3290705182007555e-17,1.0,0.02040816326530612,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,True,,
core_benchmark,core_benchmark,open_room_7,0.0,group_constrained_rd,ours:group_rd,49.0,3.0,0.061224489795918366,16.333333333333332,31.80931987663823,0.007836302824100175,1.7763568394002505e-15,5.3290705182007555e-17,1.7763568394002505e-15,5.3290705182007555e-17,0.0,0.0,occupancy_struct_hidden_distinct,1.0,True,exact_or_same_protocol,True,,
core_benchmark,core_benchmark,open_room_7,0.0,eigenoptions_sqrt,option_baseline:eigen,49.0,7.0,0.14285714285714285,7.0,3.3868789759131976,0.1364624896337982,1.7763568394002505e-15,5.3290705182007555e-17,1.7763568394002505e-15,5.3290705182007555e-17,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,group_constrained_rd,
core_benchmark,core_benchmark,open_room_7,0.0,betweenness_sqrt,option_baseline:bottleneck,49.0,7.0,0.14285714285714285,7.0,3.4586520976336623,0.1209212379644871,0.0,0.0,8.881784197001252e-16,2.6645352591003778e-17,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,group_constrained_rd,
core_benchmark,core_benchmark,open_room_7,0.0,random_landmarks_sqrt,option_baseline:random,49.0,7.0,0.14285714285714285,7.0,5.7204901852865575,0.1535230796450714,0.0,0.0,8.881784197001252e-16,2.6645352591003778e-17,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,group_constrained_rd,
core_benchmark,core_benchmark,open_room_7,0.0,coverage_sqrt,option_baseline:coverage,49.0,7.0,0.14285714285714285,7.0,6.019953679043224,0.16544466946277858,1.7763568394002505e-15,5.3290705182007555e-17,1.7763568394002505e-15,5.3290705182007555e-17,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,group_constrained_rd,
core_benchmark,core_benchmark,open_room_7,0.05,full_vi,full_mdp,49.0,49.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,True,,
core_benchmark,core_benchmark,open_room_7,0.05,graph_rd_joint,ours:rd_graph,49.0,2.0,0.04081632653061224,24.5,289.88299020573334,0.09814162436679594,0.049732315443677066,0.0014919694633103132,0.049732315443677066,0.0014919694633103132,0.9067046103275253,0.018504175720969903,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,True,,
core_benchmark,core_benchmark,open_room_7,0.05,graph_rd_surrogate_joint,ours:rd_graph,49.0,2.0,0.04081632653061224,24.5,277.7701067386081,0.2867500166895755,0.049732315443677066,0.0014919694633103132,0.049732315443677066,0.0014919694633103132,0.9067046103275253,0.018504175720969903,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,True,,
core_benchmark,core_benchmark,open_room_7,0.05,group_constrained_rd,ours:group_rd,49.0,2.0,0.04081632653061224,24.5,231.60028450641684,0.003189172482546466,0.049732315443677066,0.0014919694633103132,0.049732315443677066,0.0014919694633103132,0.9067046103275253,0.018504175720969903,occupancy_struct_hidden_distinct,1.0,False,exact_or_same_protocol,True,,
