comparison_protocol,method_group,value_epsilon,audit_epsilon,success_floor,n_cases_available,n_cases_feasible,constraint_coverage_rate,paired_case_count,median_rate_budget_boundary_frac,median_state_compression_ratio,state_compression_ci95_low,state_compression_ci95_high,median_total_speedup,total_speedup_ci95_low,total_speedup_ci95_high
large_scale_compression,ours:rd_graph,0.001,0.0,0.95,27,9,0.3333333333333333,9,0.00390625,256.0,128.0,512.0,0.3537871745374995,0.3404145664099412,0.4110468577326623
option_baseline_frontier,baseline:dense_turn,0.001,0.0,0.95,24,16,0.6666666666666666,6,0.012755807522123894,92.25,3.826923076923077,192.0,nan,nan,nan
option_baseline_frontier,baseline:endpoints,0.001,0.0,0.95,24,6,0.25,6,0.005859375,192.0,128.0,256.0,nan,nan,nan
option_baseline_frontier,option_baseline:bottleneck,0.001,0.0,0.95,24,10,0.4166666666666667,6,0.01171875,96.0,64.0,136.0,nan,nan,nan
option_baseline_frontier,option_baseline:coverage,0.001,0.0,0.95,24,10,0.4166666666666667,6,0.008331028761061947,120.5,64.0,136.0,nan,nan,nan
option_baseline_frontier,option_baseline:eigen,0.001,0.0,0.95,24,10,0.4166666666666667,6,0.0078125,128.0,64.0,177.0,nan,nan,nan
option_baseline_frontier,option_baseline:random,0.001,0.0,0.95,24,10,0.4166666666666667,6,0.011369223205506391,92.5,64.0,128.0,nan,nan,nan
option_baseline_frontier,ours:rd_graph,0.001,0.0,0.95,24,6,0.25,6,0.005859375,192.0,128.0,256.0,nan,nan,nan
random_maze_generalization,baseline:endpoints,0.001,0.0,0.95,180,0,0.0,0,nan,nan,nan,nan,nan,nan,nan
random_maze_generalization,ours:group_rd,0.001,0.0,0.95,180,173,0.9611111111111111,0,0.030927835051546393,32.333333333333336,24.25,32.333333333333336,0.05342590790975046,0.05224407074496018,0.05441328163289956
abstraction_baseline_comparison,abstraction:model_minimization,0.001,0.001,0.95,24,0,0.0,0,nan,nan,nan,nan,nan,nan,nan
abstraction_baseline_comparison,abstraction:qstar_oracle,0.001,0.001,0.95,24,0,0.0,0,nan,nan,nan,nan,nan,nan,nan
abstraction_baseline_comparison,reduction:policy_kron_oracle,0.001,0.001,0.95,24,0,0.0,0,nan,nan,nan,nan,nan,nan,nan
core_benchmark,full_mdp,0.001,0.001,0.95,10,10,1.0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
core_benchmark,option_baseline:bottleneck,0.001,0.001,0.95,10,5,0.5,4,0.1875,5.333333333333333,4.0,7.0,0.4432684691573722,0.1209212379644871,0.8068607489133391
core_benchmark,option_baseline:coverage,0.001,0.001,0.95,10,5,0.5,4,0.1875,5.333333333333333,4.0,7.0,0.4979783835246824,0.16544466946277858,0.9807747838805151
core_benchmark,option_baseline:eigen,0.001,0.001,0.95,10,6,0.6,4,0.1875,5.333333333333333,4.0,6.357142857142858,0.42606623282529543,0.10498495929872148,0.7530947693393724
core_benchmark,option_baseline:random,0.001,0.001,0.95,10,6,0.6,4,0.1875,5.333333333333333,4.0,6.357142857142858,0.4428784787101792,0.11669254313303093,0.9344360123350957
core_benchmark,ours:group_rd,0.001,0.001,0.95,10,5,0.5,4,0.09375,10.666666666666666,5.333333333333333,16.333333333333332,0.014372218194298394,0.007836302824100175,0.018535375510118014
core_benchmark,ours:rd_graph,0.001,0.001,0.95,10,6,0.6,4,0.125,8.0,6.2,16.0,0.2596212793403313,0.05122000631819744,0.3116607329741538
group_constrained_adaptive,baseline:endpoints,0.001,0.001,0.95,6,0,0.0,0,nan,nan,nan,nan,nan,nan,nan
group_constrained_adaptive,ours:group_rd,0.001,0.001,0.95,6,4,0.6666666666666666,0,0.03554983748645721,29.166666666666664,23.666666666666668,48.0,0.044369886888279864,0.03830827856461743,0.05848164925240377
large_scale_compression,baseline:dense_turn,0.001,0.001,0.95,27,19,0.7037037037037037,10,0.0078125,128.0,3.826923076923077,256.0,0.8970534465197718,0.0630729072496227,5.686636228152796
large_scale_compression,baseline:endpoints,0.001,0.001,0.95,27,10,0.37037037037037035,10,0.00390625,256.0,128.0,512.0,5.814245384934258,5.138248077134015,7.919576135507807
large_scale_compression,option_baseline:bottleneck,0.001,0.001,0.95,27,12,0.4444444444444444,10,0.04329427083333333,23.130434782608695,19.130434782608695,32.0,0.4477100730579656,0.17394105969990645,0.6429913073244586
large_scale_compression,option_baseline:coverage,0.001,0.001,0.95,27,13,0.48148148148148145,10,0.044921875,22.26086956521739,19.23809523809524,32.0,0.5096832064584026,0.0922426642241242,0.7522616330257452
large_scale_compression,ours:rd_graph,0.001,0.001,0.95,27,10,0.37037037037037035,10,0.00390625,256.0,128.0,512.0,0.3518506217714784,0.3403072083463349,0.401915002751202
option_baseline_frontier,baseline:dense_turn,0.001,0.001,0.95,24,16,0.6666666666666666,7,0.012755807522123894,92.25,3.826923076923077,144.0,nan,nan,nan
option_baseline_frontier,baseline:endpoints,0.001,0.001,0.95,24,7,0.2916666666666667,7,0.00390625,256.0,128.0,256.0,nan,nan,nan
option_baseline_frontier,option_baseline:bottleneck,0.001,0.001,0.95,24,10,0.4166666666666667,7,0.01171875,96.0,60.25,136.0,nan,nan,nan
option_baseline_frontier,option_baseline:coverage,0.001,0.001,0.95,24,10,0.4166666666666667,7,0.008331028761061947,120.5,64.0,136.0,nan,nan,nan
option_baseline_frontier,option_baseline:eigen,0.001,0.001,0.95,24,10,0.4166666666666667,7,0.0078125,128.0,64.0,177.0,nan,nan,nan
option_baseline_frontier,option_baseline:random,0.001,0.001,0.95,24,10,0.4166666666666667,7,0.011369223205506391,92.5,64.0,128.0,nan,nan,nan
