map,slip,gamma,candidate_kind,candidate_top_fraction,soft_kind,soft_top_fraction,local_horizon,hidden_threshold,soft_threshold,soft_cost_weight,n_states,n_boundary,n_candidate_boundary,n_pair_options,n_edges_valid,invalid_hidden_count,hidden_mass_total,hidden_mass_max,soft_cost_all_total,soft_cost_valid_total,soft_cost_max,soft_over_threshold_count,feasible,start_value_smdp,start_value_primitive,start_gap,value_gap_max,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,target_policy_tv_total,target_policy_regions_total,target_policy_tv_mean,target_policy_regions_mean,hard_split_candidate_state,hard_split_candidate_coord,hard_split_candidate_score,soft_split_candidate_state,soft_split_candidate_coord,soft_split_candidate_score,description_length_proxy,step,split_candidate_state,split_candidate_score,split_candidate_source,split_candidate_coord,stop_reason
maze,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,81,12,30,132,119,13,13.0,1.0,32.89688430839999,32.89688430839999,0.97,36,True,-33.333333331914524,-22.199077937496824,11.1342553944177,18.126478096223288,fb_000_to_001,8778.0,4257.0,66.5,32.25,798.0,387.0,66.5,32.25,12,"(1, 15)",6.0,63,"(6, 19)",11.64,546.5135509750667,10,12,6.0,hard_hidden,"(1, 15)",continue
maze,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,81,13,30,156,142,14,14.0,1.0,35.63829133409999,35.63829133409999,0.97,39,True,-33.333333331914524,-22.199077937496824,11.1342553944177,18.126478096223288,fb_000_to_001,10368.0,5028.0,66.46153846153847,32.23076923076923,864.0,419.0,66.46153846153847,32.23076923076923,32,"(3, 13)",7.0,63,"(6, 19)",12.610000000000001,605.661368257177,11,32,7.0,hard_hidden,"(3, 13)",continue
maze,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,81,14,30,182,167,15,15.0,1.0,38.37969835979999,38.37969835979999,0.97,42,True,-33.333333331914524,-22.199077937496824,11.1342553944177,19.265042083260113,fb_000_to_001,12116.0,5876.0,66.57142857142857,32.285714285714285,932.0,452.0,66.57142857142857,32.285714285714285,34,"(3, 15)",14.0,63,"(6, 19)",13.580000000000002,667.8082697883715,12,34,14.0,hard_hidden,"(3, 15)",continue
maze,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,81,15,30,210,209,1,1.0,1.0,41.12110538549999,41.12110538549999,0.97,45,True,-22.199077937496824,-22.199077937496824,0.0,7.105427357601002e-15,fb_000_to_001,14000.0,6790.0,66.66666666666667,32.333333333333336,1000.0,485.0,66.66666666666667,32.333333333333336,23,"(3, 1)",1.0,63,"(6, 19)",14.550000000000002,733.0544387188334,13,23,1.0,hard_hidden,"(3, 1)",continue
maze,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,81,16,30,240,238,2,2.0,1.0,45.69124643689998,42.94983941119998,2.7414070257,47,True,-22.199077937496824,-22.199077937496824,0.0,1.3574015827385928,fb_000_to_001,16020.0,7770.0,66.75,32.375,1068.0,518.0,66.75,32.375,76,"(7, 15)",1.0,63,"(6, 19)",15.520000000000003,798.4248394112,14,76,1.0,hard_hidden,"(7, 15)",continue
maze,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,81,17,30,272,267,5,5.0,1.0,89.34450956539996,86.76830748829997,2.7414070257,65,True,-22.199077937496824,-22.199077937496824,0.0,1.3574015827385928,fb_000_to_001,18176.0,8816.0,66.82352941176471,32.411764705882355,1136.0,551.0,66.82352941176471,32.411764705882355,54,"(5, 15)",3.0,63,"(6, 19)",16.490000000000002,907.7741898412412,15,54,3.0,hard_hidden,"(5, 15)",continue
maze,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,81,18,30,306,300,6,6.0,1.0,107.70833400229998,107.70833400229998,2.7414070257,87,True,-22.199077937496824,-22.199077937496824,0.0,1.3574015827385928,fb_000_to_001,20434.0,9911.0,66.77777777777777,32.388888888888886,1202.0,583.0,66.77777777777777,32.388888888888886,75,"(7, 13)",3.0,63,"(6, 19)",17.46,995.5750006689666,16,75,3.0,hard_hidden,"(7, 13)",continue
maze,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,81,19,30,342,333,9,9.0,1.0,114.04988207939998,114.04988207939998,2.7414070257,92,True,-22.199077937496824,-22.199077937496824,0.0,1.3574015827385928,fb_000_to_001,22896.0,11106.0,66.94736842105263,32.473684210526315,1272.0,617.0,66.94736842105263,32.473684210526315,69,"(7, 7)",5.0,63,"(6, 19)",18.43,1072.5761978688738,17,69,5.0,hard_hidden,"(7, 7)",continue
maze,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,81,20,30,380,368,12,12.0,1.0,120.39143015649998,120.39143015649998,2.7414070257,97,True,-22.199077937496824,-22.199077937496824,0.0,1.3574015827385928,fb_000_to_001,25498.0,12369.0,67.1,32.55,1342.0,651.0,67.1,32.55,45,"(5, 5)",7.0,63,"(6, 19)",19.4,1151.6914301565,18,45,7.0,hard_hidden,"(5, 5)",continue
maze,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,81,21,30,420,405,15,15.0,1.0,126.73297823359998,126.73297823359998,2.7414070257,102,True,-22.199077937496824,-22.199077937496824,0.0,1.3574015827385928,fb_000_to_001,28160.0,13660.0,67.04761904761905,32.523809523809526,1408.0,683.0,67.04761904761905,32.523809523809526,68,"(7, 5)",9.0,63,"(6, 19)",20.369999999999997,1231.1186925193144,19,68,9.0,hard_hidden,"(7, 5)",continue
