option,src_state,src_coord,target_state,target_coord,primitive_distance,within_horizon,edge_valid,visible_mass,hidden_mass,hidden_gamma_mass,hidden_argmax_state,hidden_argmax_coord,hidden_argmax_prob,reward,map,slip,step
fb_003_to_002,30,"(5, 3)",3,"(1, 4)",5.0,True,False,0.9824714210209331,0.01752857897906693,0.016958965267933498,31,"(5, 4)",0.017523552254859593,-4.043187278297906,open_room,0.05,3
fb_004_to_002,34,"(5, 7)",3,"(1, 4)",7.0,True,False,0.9996819765355036,0.00031802346449626677,0.0002971943203777822,32,"(5, 5)",0.0003178367808974349,-6.752304310328127,open_room,0.05,3
fb_000_to_003,0,"(1, 1)",30,"(5, 3)",6.0,True,False,0.9999197256785691,8.027432143130335e-05,6.389032340249577e-05,31,"(5, 4)",7.816139419841068e-05,-5.857209366702483,open_room,0.05,3
fb_001_to_003,2,"(1, 3)",30,"(5, 3)",4.0,True,False,0.953822705012718,0.046177294987281806,0.03941163168205005,31,"(5, 4)",0.04460214988296681,-4.046593669142539,open_room,0.05,3
fb_002_to_003,3,"(1, 4)",30,"(5, 3)",5.0,True,False,0.06383993640836315,0.9361600635916367,0.8238133086875352,31,"(5, 4)",0.8737387629252441,-3.991725106214546,open_room,0.05,3
fb_004_to_003,34,"(5, 7)",30,"(5, 3)",4.0,True,False,9.465164602920487e-08,0.9999999053483539,0.9364142678276373,32,"(5, 5)",0.9999946991887847,-2.119521819832614,open_room,0.05,3
fb_000_to_004,0,"(1, 1)",34,"(5, 7)",10.0,True,False,0.9999197749733558,8.02250266445446e-05,6.385464132211835e-05,31,"(5, 4)",7.816139419841068e-05,-5.857209366702483,open_room,0.05,3
fb_001_to_004,2,"(1, 3)",34,"(5, 7)",8.0,True,False,0.9538653645385738,0.04613463546142599,0.039378551708981975,31,"(5, 4)",0.04460214988296681,-4.046593669142539,open_room,0.05,3
fb_002_to_004,3,"(1, 4)",34,"(5, 7)",7.0,True,False,0.06632993198517044,0.9336700680148294,0.8218189097008234,31,"(5, 4)",0.8737387629252441,-3.991725106214546,open_room,0.05,3
fb_003_to_004,30,"(5, 3)",34,"(5, 7)",4.0,True,False,1.8007602737485668e-07,0.9999998199239726,0.967408380914677,31,"(5, 4)",0.9999947050931957,-1.0863822012523228,open_room,0.05,3
fb_001_to_000,2,"(1, 3)",0,"(1, 1)",2.0,True,True,0.9999999998482206,1.5177919661981e-10,1.2521875226961372e-10,32,"(5, 5)",1.5177919661981e-10,-2.0829985922763044,open_room,0.05,4
fb_002_to_000,3,"(1, 4)",0,"(1, 1)",3.0,True,True,0.9999999941966919,5.8033077282551575e-09,4.94988656259739e-09,32,"(5, 5)",5.8033077282551575e-09,-1.0863919938069568,open_room,0.05,4
fb_003_to_000,30,"(5, 3)",0,"(1, 1)",6.0,True,False,0.9999949732757928,5.02672420733871e-06,4.4163007915119065e-06,32,"(5, 5)",5.02672420733871e-06,-4.043187278297906,open_room,0.05,4
