map_family,map_size,map,slip,method,repeat,pair_id,host,n_states,iterations,state_updates,backup_count,time_sec,bellman_residual,max_value_error,start_value_error,error
corridor,512,corridor_512,0.05,gauss_seidel_vi,3,corridor_512|0.05|3,node006,512,555,284160,1136640,1.3546829080441967,5.704237082682084e-11,1.3253043107397389e-10,1.3253043107397389e-10,
corridor,512,corridor_512,0.05,prioritized_sweeping,3,corridor_512|0.05|3,node006,512,319205,319205,7430448,11.21774498699233,9.904255193760036e-11,8.702407683358615e-10,3.5926461805502186e-10,
corridor,512,corridor_512,0.05,sparse_vectorized_vi,4,corridor_512|0.05|4,node006,512,571,292352,1169408,0.03803691396024078,6.801315066695679e-11,2.1548629547396558e-10,2.1548629547396558e-10,
corridor,512,corridor_512,0.05,gauss_seidel_vi,4,corridor_512|0.05|4,node006,512,555,284160,1136640,1.458274440956302,5.704237082682084e-11,1.3253043107397389e-10,1.3253043107397389e-10,
corridor,512,corridor_512,0.05,prioritized_sweeping,4,corridor_512|0.05|4,node006,512,319205,319205,7430448,11.915642948937602,9.904255193760036e-11,8.702407683358615e-10,3.5926461805502186e-10,
corridor,512,corridor_512,0.1,sparse_vectorized_vi,0,corridor_512|0.1|0,node003,512,618,316416,1265664,0.03547177102882415,7.465672524631373e-11,3.5134917197865434e-10,3.5134917197865434e-10,
corridor,512,corridor_512,0.1,gauss_seidel_vi,0,corridor_512|0.1|0,node003,512,590,302080,1208320,1.4696018169634044,7.040767968646833e-11,2.396021159256634e-10,2.396021159256634e-10,
corridor,512,corridor_512,0.1,prioritized_sweeping,0,corridor_512|0.1|0,node003,512,442513,442513,10270176,17.05578716599848,9.953282642527483e-11,1.8111947497345682e-09,5.867377694812603e-10,
corridor,512,corridor_512,0.1,sparse_vectorized_vi,1,corridor_512|0.1|1,node001,512,618,316416,1265664,0.03814085805788636,7.465672524631373e-11,3.5134917197865434e-10,3.5134917197865434e-10,
corridor,512,corridor_512,0.1,gauss_seidel_vi,1,corridor_512|0.1|1,node001,512,590,302080,1208320,1.4918892900459468,7.040767968646833e-11,2.396021159256634e-10,2.396021159256634e-10,
corridor,512,corridor_512,0.1,prioritized_sweeping,1,corridor_512|0.1|1,node001,512,442513,442513,10270176,17.28333623695653,9.953282642527483e-11,1.8111947497345682e-09,5.867377694812603e-10,
corridor,512,corridor_512,0.1,sparse_vectorized_vi,2,corridor_512|0.1|2,node005,512,618,316416,1265664,0.03774758707731962,7.465672524631373e-11,3.5134917197865434e-10,3.5134917197865434e-10,
corridor,512,corridor_512,0.1,gauss_seidel_vi,2,corridor_512|0.1|2,node005,512,590,302080,1208320,1.4639848319347948,7.040767968646833e-11,2.396021159256634e-10,2.396021159256634e-10,
corridor,512,corridor_512,0.1,prioritized_sweeping,2,corridor_512|0.1|2,node005,512,442513,442513,10270176,17.16231397399679,9.953282642527483e-11,1.8111947497345682e-09,5.867377694812603e-10,
corridor,512,corridor_512,0.1,sparse_vectorized_vi,3,corridor_512|0.1|3,node003,512,618,316416,1265664,0.03575747297145426,7.465672524631373e-11,3.5134917197865434e-10,3.5134917197865434e-10,
corridor,512,corridor_512,0.1,gauss_seidel_vi,3,corridor_512|0.1|3,node003,512,590,302080,1208320,1.4432473679771647,7.040767968646833e-11,2.396021159256634e-10,2.396021159256634e-10,
corridor,512,corridor_512,0.1,prioritized_sweeping,3,corridor_512|0.1|3,node003,512,442513,442513,10270176,16.316810064017773,9.953282642527483e-11,1.8111947497345682e-09,5.867377694812603e-10,
corridor,512,corridor_512,0.1,sparse_vectorized_vi,4,corridor_512|0.1|4,node006,512,618,316416,1265664,0.036629739101044834,7.465672524631373e-11,3.5134917197865434e-10,3.5134917197865434e-10,
corridor,512,corridor_512,0.1,gauss_seidel_vi,4,corridor_512|0.1|4,node006,512,590,302080,1208320,1.459191462956369,7.040767968646833e-11,2.396021159256634e-10,2.396021159256634e-10,
corridor,512,corridor_512,0.1,prioritized_sweeping,4,corridor_512|0.1|4,node006,512,442513,442513,10270176,17.172574506956153,9.953282642527483e-11,1.8111947497345682e-09,5.867377694812603e-10,
corridor,1024,corridor_1024,0.0,sparse_vectorized_vi,0,corridor_1024|0.0|0,node006,1024,757,775168,3100672,0.053556247032247484,9.687539659353206e-11,3.1975915248949605e-09,3.1975915248949605e-09,
corridor,1024,corridor_1024,0.0,gauss_seidel_vi,0,corridor_1024|0.0|0,node006,1024,757,775168,3100672,3.7385556540684775,9.687539659353206e-11,3.1975915248949605e-09,3.1975915248949605e-09,
corridor,1024,corridor_1024,0.0,prioritized_sweeping,0,corridor_1024|0.0|0,node006,1024,487998,487998,7809036,10.103229488944635,9.986678151108208e-11,3.2974583064060425e-09,3.2974583064060425e-09,
corridor,1024,corridor_1024,0.0,sparse_vectorized_vi,1,corridor_1024|0.0|1,node003,1024,757,775168,3100672,0.050918371067382395,9.687539659353206e-11,3.1975915248949605e-09,3.1975915248949605e-09,
corridor,1024,corridor_1024,0.0,gauss_seidel_vi,1,corridor_1024|0.0|1,node003,1024,757,775168,3100672,3.689363446086645,9.687539659353206e-11,3.1975915248949605e-09,3.1975915248949605e-09,
corridor,1024,corridor_1024,0.0,prioritized_sweeping,1,corridor_1024|0.0|1,node003,1024,487998,487998,7809036,10.59052355599124,9.986678151108208e-11,3.2974583064060425e-09,3.2974583064060425e-09,
corridor,1024,corridor_1024,0.0,sparse_vectorized_vi,2,corridor_1024|0.0|2,node001,1024,757,775168,3100672,0.05418839096091688,9.687539659353206e-11,3.1975915248949605e-09,3.1975915248949605e-09,
corridor,1024,corridor_1024,0.0,gauss_seidel_vi,2,corridor_1024|0.0|2,node001,1024,757,775168,3100672,3.782748155063018,9.687539659353206e-11,3.1975915248949605e-09,3.1975915248949605e-09,
corridor,1024,corridor_1024,0.0,prioritized_sweeping,2,corridor_1024|0.0|2,node001,1024,487998,487998,7809036,10.629473804030567,9.986678151108208e-11,3.2974583064060425e-09,3.2974583064060425e-09,
corridor,1024,corridor_1024,0.0,sparse_vectorized_vi,3,corridor_1024|0.0|3,node005,1024,757,775168,3100672,0.054049337981268764,9.687539659353206e-11,3.1975915248949605e-09,3.1975915248949605e-09,
corridor,1024,corridor_1024,0.0,gauss_seidel_vi,3,corridor_1024|0.0|3,node005,1024,757,775168,3100672,3.7251782950479537,9.687539659353206e-11,3.1975915248949605e-09,3.1975915248949605e-09,
