map_family,map_size,map,method_spec,variant,task_type,task_count,n_states,n_boundary,state_compression_ratio,edge_count,reward_kernel_nnz,continuation_kernel_nnz,certified_kernel_error_bound,goal_option_interface_size,goal_conditioned_options,n_goal_policies,construction_time_sec,kernel_time_sec,task_kernel_time_sec,policy_build_time_sec,batched_event_solve_time_sec,smdp_solve_time_sec,full_total_time_sec,graph_total_time_sec,break_even_num_tasks,amortized_speedup_vs_full_vi,planning_only_speedup_vs_full_vi,start_gap_mean,start_gap_max,boundary_gap_max,full_backup_count,smdp_edge_backup_count,epsilon_opt_empirical
corridor,256,corridor_256,turn_articulation,fixed_B_event_hit_kernel,terminal_goal,25,256,2,128.0,2,50,2,0.0,0,0,0,0.004785851982887834,0.22652218100847676,0.38786015097866766,0.0,0.0,0.004538132983725518,1.0495220059819985,0.6237063169537578,9.0,1.6827182560984246,2.674634545758062,4.528260433289688e-11,9.526957001071423e-11,9.526957001071423e-11,5876736,100,
corridor,256,corridor_256,turn_articulation,fixed_B_goal_conditioned_event_options,terminal_goal,25,256,2,128.0,4,150,2,0.0,50,50,25,0.004785851982887834,0.22652218100847676,0.584452194016194,0.10537231006310321,0.0912197329744231,0.013044386025285348,1.0495220059819985,0.8288046130328439,20.0,1.266308113490686,1.7565322397479477,4.4248906760913084e-11,9.277556500819628e-11,9.277556500819628e-11,5876736,1100,9.277556500819628e-11
corridor,256,corridor_256,turn_articulation,fixed_B_edge_reward_kernel,additive_sparse,50,256,2,128.0,2,510,2,0.0,0,0,0,0.004785851982887834,0.22652218100847676,0.000499946007039398,0.0,0.0,0.01313603890594095,5.655381547025172,0.24494401790434495,3.0,23.088465664157187,414.73949869522875,3.3635020712539974,23.480153478518,28.549634636991346,38707200,400,
corridor,256,corridor_256,turn_articulation,fixed_B_edge_reward_kernel,additive_dense,50,256,2,128.0,2,510,2,0.0,0,0,0,0.004785851982887834,0.22652218100847676,0.0005178549035917968,0.0,0.0,0.013083937868941575,5.410019308008486,0.24490982576389797,3.0,22.089841806608213,397.74310625678316,2.359194729615819,12.253458865630957,14.562931727682855,37553152,400,
corridor,256,corridor_256,turn_articulation,fixed_B_event_hit_kernel,terminal_goal,50,256,2,128.0,2,100,2,0.0,0,0,0,0.004785851982887834,0.22652218100847676,0.7796565269527491,0.0,0.0,0.008824447984807193,2.1329042938305065,1.019789007928921,9.0,2.0915152813445204,2.7050802259362334,3.303441076241143e-11,1.0489031865290599e-10,1.0489031865290599e-10,12142592,200,
corridor,256,corridor_256,turn_articulation,fixed_B_goal_conditioned_event_options,terminal_goal,50,256,2,128.0,4,300,2,0.0,100,100,50,0.004785851982887834,0.22652218100847676,1.1766563410055824,0.205422511062352,0.19157730299048126,0.02504704805323854,2.1329042938305065,1.4330114220501855,34.0,1.4884070433848993,1.774900789371166,3.273413540227921e-11,1.0241052450510324e-10,1.0241052450510324e-10,12142592,2200,1.0241052450510324e-10
corridor,256,corridor_256,turn_articulation,fixed_B_edge_reward_kernel,additive_sparse,100,256,2,128.0,2,510,2,0.0,0,0,0,0.004785851982887834,0.22652218100847676,0.0009671519219409674,0.0,0.0,0.025875204999465495,11.57917334116064,0.25815038991277106,3.0,44.854370915624955,431.376923236066,3.153822259482526,25.891113405482006,28.549634636991346,77414400,800,
corridor,256,corridor_256,turn_articulation,fixed_B_edge_reward_kernel,additive_dense,100,256,2,128.0,2,510,2,0.0,0,0,0,0.004785851982887834,0.22652218100847676,0.0010597629006952047,0.0,0.0,0.02596269888454117,11.199818729015533,0.25833049477660097,3.0,43.354613394368755,414.4633016054264,2.274585647432136,13.537650399646633,14.562931727682855,75105280,800,
corridor,256,corridor_256,turn_articulation,fixed_B_event_hit_kernel,terminal_goal,100,256,2,128.0,2,200,2,0.0,0,0,0,0.004785851982887834,0.22652218100847676,1.6295299058256205,0.0,0.0,0.018361266993451864,4.376470305840485,1.879199205810437,9.0,2.328901742991668,2.6558005637918374,3.456401387325059e-11,1.0824408036569366e-10,1.0824408036569366e-10,24160256,400,
corridor,256,corridor_256,turn_articulation,fixed_B_goal_conditioned_event_options,terminal_goal,100,256,2,128.0,4,600,2,0.0,200,200,100,0.004785851982887834,0.22652218100847676,2.4687415286607575,0.41125971797737293,0.427951904857764,0.050051279948093,4.376470305840485,2.750100841600215,63.0,1.5913853919967262,1.737526918007061,3.427527595079027e-11,1.0574296993581811e-10,1.0574296993581811e-10,24160256,4400,1.0574296993581811e-10
