map,slip,selector,option_set,gamma,n_states,n_boundary,n_options,compression_ratio,n_edges_all,n_edges_valid,kernel_entries_valid,bellman_error_max,value_gap_max,value_gap_mean,start_value_smdp,start_value_primitive,start_gap,start_best_option
open_room,0.0,decision,directional,0.97,35,35,4,1.0,140,140,140,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,S
open_room,0.0,decision,targeted,0.97,35,35,35,1.0,1225,1190,1190,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001
open_room,0.0,spectral_25,directional,0.97,35,11,4,0.3142857142857143,35,35,35,8.881784197001252e-16,8.881784197001252e-16,4.440892098500626e-16,-8.75252910350239,-8.75252910350239,0.0,E
open_room,0.0,spectral_25,targeted,0.97,35,11,11,0.3142857142857143,121,110,110,8.881784197001252e-16,8.881784197001252e-16,4.440892098500626e-16,-8.75252910350239,-8.75252910350239,0.0,to_001
open_room,0.05,all,directional,0.97,35,35,4,1.0,544,544,544,0.0,3.552713678800501e-15,6.791952621236251e-16,-9.19001272578314,-9.19001272578314,0.0,E
open_room,0.05,all,targeted,0.97,35,35,35,1.0,4659,4624,4624,0.0,3.552713678800501e-15,6.791952621236251e-16,-9.19001272578314,-9.19001272578314,0.0,to_001
open_room,0.05,endpoints,directional,0.97,35,2,4,0.05714285714285714,12,12,12,1.0658141036401503e-14,23.88271740419762,23.88271740419762,-33.07273012998076,-9.19001272578314,23.88271740419762,E
open_room,0.05,endpoints,targeted,0.97,35,2,2,0.05714285714285714,6,4,4,1.7763568394002505e-15,0.07879917849361995,0.07879917849361995,-9.26881190427676,-9.19001272578314,0.07879917849361995,to_001
open_room,0.05,junction,directional,0.97,35,33,4,0.9428571428571428,520,520,520,3.552713678800501e-15,2.0676793610618915e-12,1.5558387911340787e-13,-9.190012725785207,-9.19001272578314,2.0676793610618915e-12,E
open_room,0.05,junction,targeted,0.97,35,33,33,0.9428571428571428,4193,4160,4160,1.1102230246251565e-16,0.02734924538719241,0.0015504029473258907,-9.190189959150997,-9.19001272578314,0.00017723336785735455,to_001
open_room,0.05,decision,directional,0.97,35,35,4,1.0,544,544,544,0.0,3.552713678800501e-15,6.791952621236251e-16,-9.19001272578314,-9.19001272578314,0.0,E
open_room,0.05,decision,targeted,0.97,35,35,35,1.0,4659,4624,4624,0.0,3.552713678800501e-15,6.791952621236251e-16,-9.19001272578314,-9.19001272578314,0.0,to_001
open_room,0.05,spectral_25,directional,0.97,35,11,4,0.3142857142857143,250,250,240,1.4210854715202004e-14,1.7093816720361694,0.8127914705868788,-10.229263045630377,-9.19001272578314,1.0392503198472376,E
open_room,0.05,spectral_25,targeted,0.97,35,11,11,0.3142857142857143,546,535,532,1.7763568394002505e-15,0.08270735458738354,0.03640517871868507,-9.268384276459932,-9.19001272578314,0.07837155067679191,to_009
four_rooms,0.0,all,directional,0.97,51,51,4,1.0,204,204,204,0.0,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,S
four_rooms,0.0,all,targeted,0.97,51,51,51,1.0,2601,2550,2550,0.0,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,to_001
four_rooms,0.0,endpoints,directional,0.97,51,2,4,0.0392156862745098,4,4,4,0.0,21.761209245457792,21.761209245457792,-33.3333333301042,-11.57212408464641,21.761209245457792,N
four_rooms,0.0,endpoints,targeted,0.97,51,2,2,0.0392156862745098,4,2,2,0.0,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,to_001
four_rooms,0.0,junction,directional,0.97,51,44,4,0.8627450980392157,164,164,164,1.1102230246251565e-16,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,S
four_rooms,0.0,junction,targeted,0.97,51,44,44,0.8627450980392157,1936,1892,1892,2.220446049250313e-16,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,to_001
four_rooms,0.0,decision,directional,0.97,51,50,4,0.9803921568627451,200,200,200,4.440892098500626e-16,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,S
four_rooms,0.0,decision,targeted,0.97,51,50,50,0.9803921568627451,2500,2450,2450,0.0,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,to_001
four_rooms,0.0,spectral_25,directional,0.97,51,15,4,0.29411764705882354,51,51,51,8.881784197001252e-16,26.124778644694075,23.464577056360508,-33.3333333301042,-11.57212408464641,21.761209245457792,N
four_rooms,0.0,spectral_25,targeted,0.97,51,15,15,0.29411764705882354,225,210,210,8.881784197001252e-16,1.7763568394002505e-15,1.3322676295501878e-15,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,to_001
four_rooms,0.05,all,directional,0.97,51,51,4,1.0,780,780,780,0.0,7.105427357601002e-15,1.7053025658242404e-15,-12.185911752175532,-12.185911752175528,3.552713678800501e-15,E
four_rooms,0.05,all,targeted,0.97,51,51,51,1.0,9801,9750,9750,0.0,7.105427357601002e-15,1.7053025658242404e-15,-12.185911752175532,-12.185911752175528,3.552713678800501e-15,to_001
