map,slip,selector,option_set,gamma,n_states,n_boundary,n_options,option_pair_count,compression_ratio,n_edges_all,n_edges_valid,kernel_entries_valid,critical_kind,critical_top_fraction,critical_nonzero,critical_mass,duration_mean,duration_max,bypass_cost_mean,bypass_cost_total,nonlocal_cost,bellman_error_max,value_gap_max,value_gap_mean,start_value_smdp,start_value_primitive,start_gap,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,description_length_proxy
four_rooms,0.0,junction,local_targeted,0.97,51,44,44,1420,0.8627450980392157,1936,1420,1420,bottleneck,0.15,8,3.5429115646258507,1.0450704225352112,2.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,to_001,1766.0,279.0,40.13636363636363,6.340909090909091,683.9727272727273
four_rooms,0.0,decision,directional,0.97,51,50,4,200,0.9803921568627451,200,200,200,bottleneck,0.15,8,3.5429115646258507,1.01,2.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,S,0.0,4.0,0.0,1.0,70.0
four_rooms,0.0,decision,targeted,0.97,51,50,50,2450,0.9803921568627451,2500,2450,2450,bottleneck,0.15,8,3.5429115646258507,1.0204081632653061,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,to_001,1964.0,312.0,39.28,6.24,820.3
four_rooms,0.0,decision,local_targeted,0.97,51,50,50,1844,0.9803921568627451,2500,1844,1844,bottleneck,0.15,8,3.5429115646258507,1.027114967462039,2.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,to_001,1964.0,312.0,39.28,6.24,777.88
four_rooms,0.0,spectral_25,directional,0.97,51,15,4,60,0.29411764705882354,51,51,51,bottleneck,0.15,8,3.5429115646258507,1.3833333333333335,4.000000000000005,0.023945493527696794,1.4367296116618076,1.5726702649650343e-15,8.881784197001252e-16,26.124778644694075,23.464577056360508,-33.3333333301042,-11.57212408464641,21.761209245457792,N,0.0,4.0,0.0,1.0,28.836729611661806
four_rooms,0.0,spectral_25,targeted,0.97,51,15,15,210,0.29411764705882354,225,210,210,bottleneck,0.15,8,3.5429115646258507,2.4904761904761905,8.0,0.09208359317871298,19.337554567529725,0.0,8.881784197001252e-16,1.7763568394002505e-15,1.3322676295501878e-15,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,to_001,570.0,92.0,38.0,6.133333333333334,233.83755456752974
four_rooms,0.0,spectral_25,local_targeted,0.97,51,15,15,184,0.29411764705882354,225,184,184,bottleneck,0.15,8,3.5429115646258507,2.097826086956522,8.0,0.015231040385825838,2.802511430991954,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.3322676295501878e-15,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,to_001,570.0,92.0,38.0,6.133333333333334,214.2691780976586
four_rooms,0.05,all,directional,0.97,51,51,4,204,1.0,780,780,780,bottleneck,0.15,8,3.5429115646258507,1.0,1.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,1.7053025658242404e-15,-12.185911752175532,-12.185911752175528,3.552713678800501e-15,E,0.0,4.0,0.0,1.0,82.49411764705883
four_rooms,0.05,all,targeted,0.97,51,51,51,2550,1.0,9801,9750,9750,bottleneck,0.15,8,3.5429115646258507,1.0,1.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,1.7053025658242404e-15,-12.185911752175532,-12.185911752175528,3.552713678800501e-15,to_001,1890.5333333333338,319.0,37.069281045751644,6.254901960784314,958.2831372549022
four_rooms,0.05,all,local_targeted,0.97,51,51,51,1944,1.0,9801,7446,7446,bottleneck,0.15,8,3.5429115646258507,1.0,1.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,1.7053025658242404e-15,-12.185911752175532,-12.185911752175528,3.552713678800501e-15,to_001,1890.5333333333338,319.0,37.069281045751644,6.254901960784314,882.8066666666668
