map,slip,step,mode,rank,n_boundary,candidate_batch_size,candidate_states,candidate_state,candidate_coords,base_rate_bits,candidate_rate_bits,rate_delta,base_objective,candidate_objective,gain,base_violation,candidate_violation,violation_gain,base_struct,candidate_struct,struct_delta,base_model,candidate_model,model_delta,base_value,candidate_value,value_delta,base_start_gap,candidate_start_gap,start_gap_delta,struct_break_even_lambda,selected
maze,0.0,1,single,3,3,1,[12],12,"[(1, 15)]",97.30378074817703,136.87414546776046,39.570364719583424,97.30378074817703,136.87414546776046,-39.570364719583424,0.0,0.0,0.0,0.0,0.0,0.0,2.2204460492503132e-17,2.2204460492503132e-17,0.0,0.0,3.552713678800501e-15,-3.552713678800501e-15,0.0,3.552713678800501e-15,-3.552713678800501e-15,inf,False
maze,0.0,1,single,4,3,1,[16],16,"[(1, 19)]",97.30378074817703,136.87414546776046,39.570364719583424,97.30378074817703,136.87414546776046,-39.570364719583424,0.0,0.0,0.0,0.0,0.0,0.0,2.2204460492503132e-17,2.2204460492503132e-17,0.0,0.0,1.7763568394002505e-15,-1.7763568394002505e-15,0.0,0.0,0.0,inf,False
maze,0.0,1,single,5,3,1,[26],26,"[(3, 5)]",97.30378074817703,137.77414546776046,40.47036471958343,97.30378074817703,137.77414546776046,-40.47036471958343,0.0,0.0,0.0,0.0,0.0,0.0,2.2204460492503132e-17,2.2204460492503132e-17,0.0,0.0,3.552713678800501e-15,-3.552713678800501e-15,0.0,3.552713678800501e-15,-3.552713678800501e-15,inf,False
maze,0.0,1,single,6,3,1,[28],28,"[(3, 7)]",97.30378074817703,137.77414546776046,40.47036471958343,97.30378074817703,137.77414546776046,-40.47036471958343,0.0,0.0,0.0,0.0,0.0,0.0,2.2204460492503132e-17,2.2204460492503132e-17,0.0,0.0,3.552713678800501e-15,-3.552713678800501e-15,0.0,0.0,0.0,inf,False
maze,0.0,1,single,7,3,1,[32],32,"[(3, 13)]",97.30378074817703,137.77414546776046,40.47036471958343,97.30378074817703,137.77414546776046,-40.47036471958343,0.0,0.0,0.0,0.0,0.0,0.0,2.2204460492503132e-17,2.2204460492503132e-17,0.0,0.0,3.552713678800501e-15,-3.552713678800501e-15,0.0,3.552713678800501e-15,-3.552713678800501e-15,inf,False
maze,0.0,1,single,8,3,1,[34],34,"[(3, 15)]",97.30378074817703,137.77414546776046,40.47036471958343,97.30378074817703,137.77414546776046,-40.47036471958343,0.0,0.0,0.0,0.0,0.0,0.0,2.2204460492503132e-17,2.2204460492503132e-17,0.0,0.0,3.552713678800501e-15,-3.552713678800501e-15,0.0,3.552713678800501e-15,-3.552713678800501e-15,inf,False
maze,0.0,1,batch_prefix,2,3,2,"[5, 11]",,"[(1, 7), (1, 13)]",97.30378074817703,174.76332442979182,77.45954368161479,97.30378074817703,174.76332442979182,-77.45954368161479,0.0,9.0,-9.0,0.0,11.0,-11.0,2.2204460492503132e-17,1.3454815587499362,-1.3454815587499362,0.0,7.105427357601002e-15,-7.105427357601002e-15,0.0,0.0,0.0,inf,False
maze,0.0,1,batch_prefix,3,3,3,"[5, 11, 16]",,"[(1, 7), (1, 13), (1, 19)]",97.30378074817703,212.4482175374017,115.14443678922466,97.30378074817703,212.4482175374017,-115.14443678922466,0.0,0.0,0.0,0.0,0.0,0.0,2.2204460492503132e-17,2.2204460492503132e-17,0.0,0.0,3.552713678800501e-15,-3.552713678800501e-15,0.0,0.0,0.0,inf,False
maze,0.0,1,batch_prefix,4,3,4,"[5, 11, 12, 16]",,"[(1, 7), (1, 13), (1, 15), (1, 19)]",97.30378074817703,249.46199872861865,152.15821798044163,97.30378074817703,249.46199872861865,-152.15821798044163,0.0,0.0,0.0,0.0,0.0,0.0,2.2204460492503132e-17,2.2204460492503132e-17,0.0,0.0,3.552713678800501e-15,-3.552713678800501e-15,0.0,0.0,0.0,inf,False
maze,0.05,0,single,1,2,1,[57],57,"[(5, 19)]",59.09333333333334,97.75711408151038,38.66378074817704,59.09333333333334,97.75711408151038,-38.66378074817704,9.06868903087758,9.051447651567235,0.017241379310345195,11.06868903087758,11.051447651567235,0.017241379310345195,1.332813138330618,1.3325849410068216,0.00022819732379653068,2.921041186709772e-11,2.921041186709772e-11,0.0,2.921041186709772e-11,2.921041186709772e-11,0.0,2242.4992833942206,False
maze,0.05,0,single,2,2,1,[55],55,"[(5, 17)]",59.09333333333334,98.63044741484372,39.537114081510374,59.09333333333334,98.63044741484372,-39.537114081510374,9.06868903087758,9.03420627225689,0.03448275862069039,11.06868903087758,11.03420627225689,0.03448275862069039,1.332813138330618,1.3323413785139482,0.0004717598166699144,2.921041186709772e-11,2.921041186709772e-11,0.0,2.921041186709772e-11,2.921041186709772e-11,0.0,1146.5763083637764,False
maze,0.05,0,single,3,2,1,[4],4,"[(1, 5)]",59.09333333333334,97.75711408151038,38.66378074817704,59.09333333333334,97.75711408151038,-38.66378074817704,9.06868903087758,8.844551080525244,0.2241379503523362,11.06868903087758,10.844551080525244,0.2241379503523362,1.332813138330618,1.3128956034056294,0.01991753492498871,2.921041186709772e-11,2.921041186709772e-11,0.0,2.921041186709772e-11,2.921041186709772e-11,0.0,172.499930009171,True
maze,0.05,0,single,4,2,1,[35],35,"[(3, 17)]",59.09333333333334,97.75711408151038,38.66378074817704,59.09333333333334,97.75711408151038,-38.66378074817704,9.06868903087758,9.016964892946545,0.051724137931035585,11.06868903087758,11.016964892946545,0.051724137931035585,1.332813138330618,1.3320814162718508,0.000731722058767259,2.921041186709772e-11,2.921041186709772e-11,0.0,2.921041186709772e-11,2.921041186709772e-11,0.0,747.4997611314068,False
maze,0.05,0,single,5,2,1,[26],26,"[(3, 5)]",59.09333333333334,98.63044741484372,39.537114081510374,59.09333333333334,98.63044741484372,-39.537114081510374,9.06868903087758,8.861792479147494,0.20689655173008603,11.06868903087758,10.861792479147494,0.20689655173008603,1.332813138330618,1.3271952014374313,0.005617936893186792,2.921041186709772e-11,2.845013113983441e-11,7.602807272633072e-13,2.921041186709772e-11,2.845013113983441e-11,7.602807272633072e-13,191.09605138847297,False
maze,0.05,0,single,6,2,1,[37],37,"[(3, 19)]",59.09333333333334,98.63044741484372,39.537114081510374,59.09333333333334,98.63044741484372,-39.537114081510374,9.06868903087758,8.999723513636201,0.068965517241379,11.06868903087758,10.999723513636201,0.068965517241379,1.332813138330618,1.331803950039185,0.0010091882914331496,2.921041186709772e-11,2.921041186709772e-11,0.0,2.921041186709772e-11,2.921041186709772e-11,0.0,573.288154181903,False
maze,0.05,0,single,7,2,1,[12],12,"[(1, 15)]",59.09333333333334,97.75711408151038,38.66378074817704,59.09333333333334,97.75711408151038,-38.66378074817704,9.06868903087758,8.965240755015511,0.1034482758620694,11.06868903087758,10.965240755015511,0.1034482758620694,1.332813138330618,1.330854339334157,0.0019587989964611197,2.921041186709772e-11,2.920685915341892e-11,3.552713678800501e-15,2.921041186709772e-11,2.920685915341892e-11,3.552713678800501e-15,373.7498805657098,False
maze,0.05,0,single,8,2,1,[16],16,"[(1, 19)]",59.09333333333334,97.75711408151038,38.66378074817704,59.09333333333334,97.75711408151038,-38.66378074817704,9.06868903087758,8.982482134325856,0.0862068965517242,11.06868903087758,10.982482134325856,0.0862068965517242,1.332813138330618,1.3315078012229242,0.0013053371076938713,2.921041186709772e-11,2.921041186709772e-11,0.0,2.921041186709772e-11,2.921041186709772e-11,0.0,448.49985667885335,False
maze,0.05,0,batch_prefix,2,2,2,"[4, 26]",,"[(1, 5), (3, 5)]",59.09333333333334,137.75312955720588,78.65979622387255,59.09333333333334,137.75312955720588,-78.65979622387255,9.06868903087758,8.844551080525244,0.2241379503523362,11.06868903087758,10.844551080525244,0.2241379503523362,1.332813138330618,1.3128956034056294,0.01991753492498871,2.921041186709772e-11,2.8972380050618085e-11,2.3803181647963356e-13,2.921041186709772e-11,2.8972380050618085e-11,2.3803181647963356e-13,350.94367598268116,False
maze,0.05,0,batch_prefix,3,2,3,"[4, 12, 26]",,"[(1, 5), (1, 15), (3, 5)]",59.09333333333334,174.62502859573735,115.53169526240401,59.09333333333334,174.62502859573735,-115.53169526240401,9.06868903087758,8.844551080525244,0.2241379503523362,11.06868903087758,10.844551080525244,0.2241379503523362,1.332813138330618,1.3128956034056294,0.01991753492498871,2.921041186709772e-11,2.8972380050618085e-11,2.3803181647963356e-13,2.921041186709772e-11,2.8972380050618085e-11,2.3803181647963356e-13,515.4490575147701,False
maze,0.05,0,batch_prefix,4,2,4,"[4, 12, 16, 26]",,"[(1, 5), (1, 15), (1, 19), (3, 5)]",59.09333333333334,210.69874039384308,151.60540706050975,59.09333333333334,210.69874039384308,-151.60540706050975,9.06868903087758,8.844551080525244,0.2241379503523362,11.06868903087758,10.844551080525244,0.2241379503523362,1.332813138330618,1.3128956034056294,0.01991753492498871,2.921041186709772e-11,2.8975932764296886e-11,2.3447910280083306e-13,2.921041186709772e-11,2.8975932764296886e-11,2.3447910280083306e-13,676.3932962811158,False
maze,0.05,1,single,1,3,1,[57],57,"[(5, 19)]",94.75711408151038,133.4874788010938,38.73036471958342,94.75711408151038,133.4874788010938,-38.73036471958342,8.844551080525244,8.844551080525244,0.0,10.844551080525244,10.844551080525244,0.0,1.3128956034056294,1.3128956034056294,0.0,2.921041186709772e-11,2.921041186709772e-11,0.0,2.921041186709772e-11,2.921041186709772e-11,0.0,inf,False
maze,0.05,1,single,2,3,1,[26],26,"[(3, 5)]",94.75711408151038,134.36081213442714,39.603698052916755,94.75711408151038,134.36081213442714,-39.603698052916755,8.844551080525244,8.844551080525244,0.0,10.844551080525244,10.844551080525244,0.0,1.3128956034056294,1.3128956034056294,0.0,2.921041186709772e-11,2.8972380050618085e-11,2.3803181647963356e-13,2.921041186709772e-11,2.8972380050618085e-11,2.3803181647963356e-13,inf,False
