map,step,k_steps,n_boundary,n_candidates,n_active_edges,mean_abs_score_error,max_abs_score_error,l1_score_error,exact_top_state,approx_top_state,top1_match,exact_top_score,approx_top_score,time_truncated_green_sec
four_rooms_13,2,8,4,12,3,0.00010448181724258757,0.0005705013257707868,0.0012537818069110508,80,66,False,0.0006237336128207685,0.0002778589840286653,0.005262838967610151
four_rooms_13,2,16,4,12,3,4.8706306901812885e-06,3.16706537008862e-05,5.8447568282175465e-05,80,80,True,0.0006237336128207685,0.000613140904951582,0.005669763020705432
four_rooms_13,2,32,4,12,3,8.176966782282988e-12,8.567027301323651e-11,9.812360138739586e-11,80,80,True,0.0006237336128207685,0.0006237336039942757,0.00543183897389099
four_rooms_13,3,1,5,11,4,0.00010744034517446623,0.0005705013258038151,0.0011818437969191287,67,5,False,0.0005705013258038151,0.0,0.005483417015057057
four_rooms_13,3,2,5,11,4,0.00010744034517446623,0.0005705013258038151,0.0011818437969191287,67,5,False,0.0005705013258038151,0.0,0.00505424098810181
four_rooms_13,3,4,5,11,4,8.749875850541942e-05,0.0005705013258038151,0.0009624863435596137,67,66,False,0.0005705013258038151,0.00021935233865149066,0.005041599972173572
four_rooms_13,3,8,5,11,4,8.182337633574145e-05,0.0005705013258038151,0.000900057139693156,67,66,False,0.0005705013258038151,0.00027785898404609024,0.005161319975741208
four_rooms_13,3,16,5,11,4,4.350441957179305e-06,3.167065481127343e-05,4.785486152897235e-05,67,67,True,0.0005705013258038151,0.0005546251448397941,0.005354824010282755
four_rooms_13,3,32,5,11,4,8.117918976269377e-12,8.567027317586684e-11,8.929710873896313e-11,67,67,True,0.0005705013258038151,0.0005705013226203313,0.005705211020540446
four_rooms_13,4,1,6,10,5,6.116203786485488e-05,0.00030292108720430687,0.0006116203786485488,66,5,False,0.00030292108720430687,0.0,0.006516161025501788
four_rooms_13,4,2,6,10,5,6.116203786485488e-05,0.00030292108720430687,0.0006116203786485488,66,5,False,0.00030292108720430687,0.0,0.006331979995593429
four_rooms_13,4,4,6,10,5,3.9225933909211566e-05,0.00029753853837416244,0.00039225933909211566,66,66,True,0.00030292108720430687,0.00021935233865149066,0.007825364009477198
four_rooms_13,4,8,6,10,5,3.2956432563751224e-05,0.00029709682463791373,0.00032956432563751225,66,66,True,0.00030292108720430687,0.00027785898407007946,0.008029051998164505
four_rooms_13,4,16,6,10,5,3.1978682726091412e-06,3.16706567628542e-05,3.197868272609141e-05,66,66,True,0.00030292108720430687,0.00030291047640706455,0.008137497992720455
four_rooms_13,4,32,6,10,5,8.611362509481514e-12,8.567027323007695e-11,8.611362509481513e-11,66,66,True,0.00030292108720430687,0.00030292108720404146,0.008818532049190253
open_room_9,0,1,2,2,1,0.4397081164722333,0.8794162329444527,0.8794162329444666,72,8,False,0.8794162329444527,0.0,0.0007903180085122585
open_room_9,0,2,2,2,1,0.4397081164722333,0.8794162329444527,0.8794162329444666,72,8,False,0.8794162329444527,0.0,0.0009756349609233439
open_room_9,0,4,2,2,1,0.4397081164722333,0.8794162329444527,0.8794162329444666,72,8,False,0.8794162329444527,0.0,0.0007966439588926733
open_room_9,0,8,2,2,1,0.05824136848101909,0.11648273696203115,0.11648273696203817,72,72,True,0.8794162329444527,0.7629334959824216,0.0007488239789381623
open_room_9,0,16,2,2,1,2.864681831544919e-06,5.729363662942966e-06,5.729363663089838e-06,72,72,True,0.8794162329444527,0.8794105035807898,0.000843074987642467
open_room_9,0,32,2,2,1,7.327522841511987e-15,1.4654943925052066e-14,1.4655045683023975e-14,72,72,True,0.8794162329444527,0.879416232944438,0.0008019009837880731
open_room_9,1,1,3,1,2,1.4838028051539213e-14,1.4838028051539213e-14,1.4838028051539213e-14,8,8,True,1.4838028051539213e-14,0.0,0.0016540790093131363
open_room_9,1,2,3,1,2,1.4838028051539213e-14,1.4838028051539213e-14,1.4838028051539213e-14,8,8,True,1.4838028051539213e-14,0.0,0.0014869369915686548
open_room_9,1,4,3,1,2,1.4838028051539213e-14,1.4838028051539213e-14,1.4838028051539213e-14,8,8,True,1.4838028051539213e-14,0.0,0.0016647260054014623
open_room_9,1,8,3,1,2,7.991224972740195e-15,7.991224972740195e-15,7.991224972740195e-15,8,8,True,1.4838028051539213e-14,6.846803078799019e-15,0.0015301719540730119
open_room_9,1,16,3,1,2,4.77427193434037e-16,4.77427193434037e-16,4.77427193434037e-16,8,8,True,1.4838028051539213e-14,1.4360600858105176e-14,0.0021564780035987496
open_room_9,1,32,3,1,2,1.0186883028868565e-19,1.0186883028868565e-19,1.0186883028868565e-19,8,8,True,1.4838028051539213e-14,1.4837926182708924e-14,0.0023269489756785333
open_room_9,2,1,4,0,2,0.0,0.0,0.0,,,True,0.0,0.0,0.0015282430103980005
open_room_9,2,2,4,0,2,0.0,0.0,0.0,,,True,0.0,0.0,0.001493494026362896
open_room_9,2,4,4,0,2,0.0,0.0,0.0,,,True,0.0,0.0,0.0014487490407191217
open_room_9,2,8,4,0,2,0.0,0.0,0.0,,,True,0.0,0.0,0.0014894609921611845
open_room_9,2,16,4,0,2,0.0,0.0,0.0,,,True,0.0,0.0,0.0014990380150265992
open_room_9,2,32,4,0,2,0.0,0.0,0.0,,,True,0.0,0.0,0.004982992017176002
