map_family,map_size,map,method_spec,method,n_states,n_boundary,n_edges_valid,state_compression_ratio,transition_nnz_proxy,kernel_nnz,memory_compression_ratio,full_vi_iterations,full_vi_time_sec,full_vi_backup_count,full_pi_iterations,full_pi_time_sec,full_pi_improvement_backup_count,construction_time_sec,kernel_time_sec,smdp_iterations,smdp_solve_time_sec,smdp_edge_backup_count,compressed_total_time_sec,planning_time_speedup_vs_full_vi,total_time_speedup_vs_full_vi,backup_compression_ratio,start_gap,value_gap_max,occupancy_struct_hidden_distinct,occupancy_model_residual,struct_hidden_distinct_cvar95
four_rooms,11,four_rooms_11,betweenness_sqrt,betweenness_11,104,11,110,9.454545454545455,1584,260,6.092307692307692,46,0.08036689402069896,19136,6,0.011859027028549463,2496,0.018060999980662018,1.0995083270245232,27,0.019154448003973812,2970,1.136723775009159,4.1957300990363136,0.07070046020639571,6.443097643097643,0.05767850675005981,0.0742068509847833,1.9046952262894479,2.144988640955246,0.9666973350571492
four_rooms,11,four_rooms_11,eigenoptions_sqrt,eigenoptions_11,104,11,110,9.454545454545455,1584,657,2.410958904109589,46,0.08163136302027851,19136,6,0.011859027028549463,2496,0.04205334099242464,1.103964819048997,20,0.01433133298996836,2200,1.16034949303139,5.696006301536556,0.07035066892391033,8.698181818181817,0.057678506750574954,0.09526023845995013,1.9043930475901998,1.0794843980037685,1.2810977336083584
four_rooms,11,four_rooms_11,turn_articulation,turn_articulation,104,16,240,6.5,1584,2450,0.6465306122448979,46,0.08045645401580259,19136,6,0.011859027028549463,2496,0.0008636289858259261,0.6048037389991805,9,0.014029434008989483,2160,0.6196968019939959,5.734832493188921,0.1298319658208953,8.85925925925926,0.0576785067505714,0.11523409748339652,0.0,0.36079675506175474,0.0
maze,9,maze_9,endpoints,endpoints,31,2,2,15.5,364,2,182.0,33,0.017276689992286265,4092,3,0.0017545600421726704,372,7.980968803167343e-06,0.004857718013226986,2,8.501100819557905e-05,4,0.004950709990225732,203.22885657983207,3.489739860827218,1023.0,1.98667748918524e-11,1.98667748918524e-11,3.000000094732833,1.0976195115725735,3.0000000947911585
maze,9,maze_9,betweenness_sqrt,betweenness_6,31,6,30,5.166666666666667,364,46,7.913043478260869,33,0.01696870196610689,4092,3,0.0017545600421726704,372,0.0011803420493379235,0.036186398996505886,17,0.0035924100084230304,510,0.04095915105426684,4.7234869979542475,0.41428353687372654,8.023529411764706,7.052136652418994e-12,7.052136652418994e-12,2.00000549447683,1.285801068705683,1.9999999999999987
maze,9,maze_9,eigenoptions_sqrt,eigenoptions_6,31,6,30,5.166666666666667,364,45,8.088888888888889,33,0.01690652797697112,4092,3,0.0017545600421726704,372,0.00027297501219436526,0.0385338079649955,23,0.004799266986083239,690,0.04360604996327311,3.522731289173144,0.3877106041755794,5.930434782608696,3.5864644587491057e-12,3.6362024502523127e-12,3.000307976536925,1.2404047176725492,4.999384426006369
maze,9,maze_9,turn_articulation,turn_articulation,31,8,56,3.875,364,98,3.7142857142857144,33,0.016846839047502726,4092,3,0.0017545600421726704,372,0.0002690270193852484,0.0406977059901692,12,0.004642444022465497,672,0.04560917703201994,3.628872844988177,0.3693738879716114,6.089285714285714,1.9126034089822497e-11,1.9126034089822497e-11,0.0,0.5232776170572763,0.0
maze,13,maze_13,endpoints,endpoints,71,2,2,35.5,844,2,422.0,53,0.06351005099713802,15052,4,0.005444156005978584,1136,9.982963092625141e-06,0.01924668700667098,2,0.00013049098197370768,4,0.019387160951737314,486.700690243365,3.275881969270327,3763.0,1.6697754290362354e-13,1.6697754290362354e-13,6.000000094732837,1.2343397367723996,6.000000094762004
maze,13,maze_13,betweenness_sqrt,betweenness_9,71,9,72,7.888888888888889,844,121,6.975206611570248,53,0.06327681196853518,15052,4,0.005444156005978584,1136,0.005227150046266615,0.37061580596491694,19,0.008998368983156979,1368,0.38484132499434054,7.032031258884341,0.16442312157995437,11.002923976608187,4.192202140984591e-13,1.1188383552962478e-11,5.000005494476323,1.4366432465996573,4.999999999999995
maze,13,maze_13,eigenoptions_sqrt,eigenoptions_9,71,9,72,7.888888888888889,844,110,7.672727272727273,53,0.06552659295266494,15052,4,0.005444156005978584,1136,0.05479226098395884,0.37222122302046046,36,0.016974069993011653,2592,0.44398755399743095,3.860393705201093,0.14758655363804207,5.807098765432099,1.978861519091879e-12,8.08952904662874e-12,5.000621166673046,3.3731842706817607,6.999692213017754
maze,13,maze_13,turn_articulation,turn_articulation,71,18,306,3.9444444444444446,844,546,1.5457875457875458,53,0.06337117002112791,15052,4,0.005444156005978584,1136,0.0005101080168969929,0.4133260319940746,18,0.035712262033484876,5508,0.44954840204445645,1.774493308816709,0.14096628913133374,2.7327523602033406,1.1475265182525618e-12,1.7035262089848402e-11,0.0,0.9171684262218325,0.0
