map_family,map_size,map,slip,method,budget_frac,n_states,n_basis,n_boundary,state_compression_ratio,n_edges_valid,group_all_feasible,n_groups_feasible,group_total_violation,group_max_violation,trace_group_all_feasible,trace_group_total_violation,trace_group_max_violation,group_test_bits_mean,group_test_bits_cvar,selection_time_sec,delta_backend,kernel_time_sec,upfront_time_sec,smdp_solve_time_sec,compressed_total_time_sec,full_vi_time_sec,full_vi_backup_count,smdp_edge_backup_count,planning_speedup,total_speedup,break_even_tasks,backup_compression_ratio,start_gap,value_gap_max,first_hit_mode,first_hit_used_steps_max,first_hit_tail_bound_max,stop_reason,probe_cache_hits,probe_cache_misses,probe_cache_hit_rate,probe_calls,unique_probe_evals,probe_context_build_time_sec,probe_green_kernel_time_sec,probe_operator_delta_time_sec,active_weight_time_sec,active_weight_cache_hit_rate,probe_call_overhead_time_sec,candidate_score_time_sec,beam_expansion_time_sec,profiled_selection_time_sec,uncached_probe_eval_time_sec,boundary,error,maze_seed
random_maze,11,random_maze_11_seed0,0.05,endpoints,0.25,49,24,2,24.5,2,False,0,233.17891857710737,77.72630619236912,,,,0.0,0.0,0.0,,0.02515097998548299,0.02515097998548299,0.00014386698603630066,0.02529484697151929,0.07264110198593698,11368,4,504.91849441822677,2.8717747163178005,1,2842.0,3.214374189042246e-08,3.214374189042246e-08,adaptive,51,7.035676626023539e-07,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 48]",,0
random_maze,11,random_maze_11_seed4,0.05,endpoints,0.25,49,22,2,24.5,2,False,0,233.17891857710737,77.72630619236912,,,,0.0,0.0,0.0,,0.019749260012758896,0.019749260012758896,0.0001352260005660355,0.01988448601332493,0.06376712798373774,10388,4,471.5596683834338,3.206878364419694,1,2597.0,3.209504484402714e-08,3.209504484402714e-08,adaptive,46,8.637414863443923e-07,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 48]",,4
random_maze,11,random_maze_11_seed8,0.05,endpoints,0.25,49,24,2,24.5,2,False,0,233.17891857710737,77.72630619236912,,,,0.0,0.0,0.0,,0.023937156976899132,0.023937156976899132,0.00013714097440242767,0.02407429795130156,0.062263997009722516,9604,4,454.0145443841933,2.586326593434732,1,2401.0,1.560731277550076e-08,1.560731277550076e-08,adaptive,42,3.508282683697461e-07,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 48]",,8
random_maze,13,random_maze_13_seed0,0.05,endpoints,0.25,71,33,2,35.5,2,False,0,233.17891857710737,77.72630619236912,,,,0.0,0.0,0.0,,0.033057634020224214,0.033057634020224214,0.00014390802243724465,0.03320154204266146,0.09973100500064902,15052,4,693.0190778220142,3.003806415753288,1,3763.0,1.5482417126122527e-08,1.5482417126122527e-08,adaptive,42,4.2975929460854054e-07,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 70]",,0
random_maze,13,random_maze_13_seed4,0.05,endpoints,0.25,71,31,2,35.5,2,False,0,233.17891857710737,77.72630619236912,,,,0.0,0.0,0.0,,0.04160670901183039,0.04160670901183039,0.0001597279915586114,0.041766437003389,0.11582527699647471,16472,4,725.1407587753534,2.7731663341806354,1,4118.0,3.7396002738887546e-08,3.7396002738887546e-08,adaptive,42,8.421665514302909e-07,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 70]",,4
random_maze,13,random_maze_13_seed8,0.05,endpoints,0.25,71,34,2,35.5,2,False,0,233.17891857710737,77.72630619236912,,,,0.0,0.0,0.0,,0.03990647700265981,0.03990647700265981,0.0001547250139992684,0.04006120201665908,0.13047821199870668,19880,4,843.2910014105646,3.2569719686505794,1,4970.0,1.5354618909668716e-08,1.5354618909668716e-08,adaptive,42,4.267833623212628e-07,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 70]",,8
random_maze,15,random_maze_15_seed0,0.05,endpoints,0.25,97,31,2,48.5,2,False,0,233.17891857710737,77.72630619236912,,,,0.0,0.0,0.0,,0.06350085898884572,0.06350085898884572,0.0001719779975246638,0.06367283698637038,0.22244456698535942,33756,4,1293.4478258095664,3.493555140836197,1,8439.0,3.950597715629556e-08,3.950597715629556e-08,adaptive,79,8.082747571663047e-07,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 96]",,0
random_maze,15,random_maze_15_seed4,0.05,endpoints,0.25,97,37,2,48.5,2,False,0,233.17891857710737,77.72630619236912,,,,0.0,0.0,0.0,,0.06587074301205575,0.06587074301205575,0.00014267998631112278,0.06601342299836688,0.18362320799496956,28324,4,1286.9584077094562,2.781604098904434,1,7081.0,4.405383435823751e-08,4.405383435823751e-08,adaptive,66,9.266478279131432e-07,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 96]",,4
random_maze,15,random_maze_15_seed8,0.05,endpoints,0.25,97,41,2,48.5,2,False,0,233.17891857710737,77.72630619236912,,,,0.0,0.0,0.0,,0.07100186499883421,0.07100186499883421,0.0001393890124745667,0.07114125401130877,0.20796789397718385,33756,4,1491.9963222720316,2.923309363426807,1,8439.0,4.4151857281349294e-08,4.4151857281349294e-08,adaptive,79,8.999047687968125e-07,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 96]",,8
random_maze,17,random_maze_17_seed0,0.05,endpoints,0.25,127,51,2,63.5,2,False,0,233.17891857710737,77.72630619236912,,,,0.0,0.0,0.0,,0.1321147239941638,0.1321147239941638,0.00014963099965825677,0.13226435499382205,0.23441896901931614,38100,4,1566.6470821868943,1.7723518103593794,1,9525.0,3.3318450221031526e-08,3.3318450221031526e-08,adaptive,65,8.020117428111157e-07,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 126]",,0
random_maze,17,random_maze_17_seed4,0.05,endpoints,0.25,127,54,2,63.5,2,False,0,233.17891857710737,77.72630619236912,,,,0.0,0.0,0.0,,0.1268790280155372,0.1268790280155372,0.00015342299593612552,0.1270324510114733,0.30532345999381505,46736,4,1990.0762472460788,2.4035075885156214,1,11684.0,2.7024317006407728e-08,2.7024317006407728e-08,adaptive,84,5.490663624359659e-07,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 126]",,4
random_maze,17,random_maze_17_seed8,0.05,endpoints,0.25,127,49,2,63.5,2,False,0,233.17891857710737,77.72630619236912,,,,0.0,0.0,0.0,,0.13229879399295896,0.13229879399295896,0.00015309199807234108,0.1324518859910313,0.3160893479944207,49276,4,2064.7019568263645,2.3864465623073423,1,12319.0,4.5740698340068775e-08,4.5740698340068775e-08,adaptive,88,9.997287183909518e-07,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 126]",,8
random_maze,19,random_maze_19_seed0,0.05,endpoints,0.25,161,68,2,80.5,2,False,0,233.17891857710737,77.72630619236912,,,,0.0,0.0,0.0,,0.23140094001428224,0.23140094001428224,0.00014742198982276022,0.231548362004105,0.369688293983927,60536,4,2507.687587370032,1.596592136451274,1,15134.0,3.539541992836348e-08,3.539541992836348e-08,adaptive,79,8.024371343635856e-07,,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 160]",,0
