map,method,goal_variant,residual_probe,residual_kind_eval,n_boundary_selected,selected_boundary,selection_time_sec,n_states,n_boundary_eval,endpoint_augmented_by,n_edges_valid,state_compression_ratio,rate_bits,hidden_linear,hidden_bits,uniform_hidden_linear,uniform_hidden_bits,start_gap,value_gap_max,occupancy_struct_hidden_distinct,struct_hidden_distinct_cvar95
four_rooms_9,value_gradient,train_goal,turn_articulation,turn_articulation,4,"[0, 42, 64, 67]",0.2566448759753257,68,4,0,12,17.0,77.63172443310803,0.9545471546257893,4.459327177379984,5.844535472086802,30.264201177293884,0.04358789967104926,0.04358789967104926,0.0,0.0
four_rooms_9,value_gradient,train_goal,value_gradient,value_gradient,4,"[0, 42, 64, 67]",0.2566448759753257,68,4,0,12,17.0,77.63172443310803,1.951106249212296,75.82614087005989,12.0,466.3578371542146,0.04358789967104926,0.04358789967104926,0.0,0.0
four_rooms_9,value_gradient,heldout_goal_1_state_59,train_recipe,turn_articulation,4,"[0, 42, 64, 67]",0.2566448759753257,68,5,1,20,13.6,101.22179943166579,0.9545427048069348,4.4593414612141205,6.798813672656492,34.70885945151623,0.08825585582921747,0.093053427403607,0.0,0.0
four_rooms_9,value_gradient,heldout_goal_1_state_59,all,all,4,"[0, 42, 64, 67]",0.2566448759753257,68,5,1,20,13.6,101.22179943166579,1.0175842817059506,39.535209772621414,15.068381063705434,484.1558832610872,0.08825585582921747,0.093053427403607,0.0,0.0
four_rooms_9,value_gradient,heldout_goal_1_state_59,turn_articulation,turn_articulation,4,"[0, 42, 64, 67]",0.2566448759753257,68,5,1,20,13.6,101.22179943166579,0.9545427048069348,4.4593414612141205,6.798813672656492,34.70885945151623,0.08825585582921747,0.093053427403607,0.0,0.0
four_rooms_9,value_gradient,heldout_goal_1_state_59,value_gradient,value_gradient,4,"[0, 42, 64, 67]",0.2566448759753257,68,5,1,20,13.6,101.22179943166579,1.0175842817059506,39.535209772621414,15.068381063705434,484.1558832610872,0.08825585582921747,0.093053427403607,0.0,0.0
open_room_7,rd_fd,train_goal,train_recipe,turn_articulation,4,"[0, 6, 42, 48]",0.13785411999560893,49,4,0,12,12.25,31.023113308455784,0.0,-2.7510378329573005e-12,0.0,-1.731387956781021e-11,0.04973231544363088,0.04973231544363088,0.0,0.0
open_room_7,rd_fd,train_goal,all,all,4,"[0, 6, 42, 48]",0.13785411999560893,49,4,0,12,12.25,31.023113308455784,1.9067046103788328,74.10055318235352,12.0,466.3578371542146,0.04973231544363088,0.04973231544363088,0.0,0.0
open_room_7,rd_fd,train_goal,turn_articulation,turn_articulation,4,"[0, 6, 42, 48]",0.13785411999560893,49,4,0,12,12.25,31.023113308455784,0.0,-2.7510378329573005e-12,0.0,-1.731387956781021e-11,0.04973231544363088,0.04973231544363088,0.0,0.0
open_room_7,rd_fd,train_goal,value_gradient,value_gradient,4,"[0, 6, 42, 48]",0.13785411999560893,49,4,0,12,12.25,31.023113308455784,1.9067046103788328,74.10055318235352,12.0,466.3578371542146,0.04973231544363088,0.04973231544363088,0.0,0.0
open_room_7,rd_fd,heldout_goal_1_state_41,train_recipe,turn_articulation,4,"[0, 6, 42, 48]",0.13785411999560893,49,5,1,20,9.8,44.13170807000981,0.0,-1.49074305954617e-12,0.0,-2.8856465946350342e-11,0.1372168691470801,0.16350617111186505,0.0,0.0
