map_family,map_size,map,method_spec,method,task_count,goal_source,n_states,n_boundary,state_compression_ratio,transition_nnz_proxy,kernel_nnz,construction_time_sec,kernel_time_sec,upfront_time_sec,full_total_time_sec,graph_replan_time_sec,graph_total_time_sec,amortized_speedup_vs_full_vi,planning_only_speedup_vs_full_vi,break_even_task_count_estimate,full_backup_count,smdp_edge_backup_count,backup_compression_ratio,start_gap_mean,start_gap_max
four_rooms,21,four_rooms_21,turn_articulation,turn_articulation,1,all_states,404,111,3.6396396396396398,6384,231661,0.012441618979210034,242.21465354901738,242.2270951679966,0.8628470800176729,13.551722213014727,255.77881738101132,0.00337341101523808,0.06367065871443385,inf,114736,610500,0.18793775593775594,0.08817951585000472,0.08817951585000472
four_rooms,21,four_rooms_21,turn_articulation,turn_articulation,5,all_states,404,111,3.6396396396396398,6384,231661,0.012441618979210034,242.21465354901738,242.2270951679966,5.403573211020557,67.3928219290101,309.6199170970067,0.01745227910944621,0.08018024852427971,inf,528432,2796090,0.18898962479748507,0.04873534588011199,0.1458495550145713
four_rooms,21,four_rooms_21,turn_articulation,turn_articulation,10,all_states,404,111,3.6396396396396398,6384,231661,0.012441618979210034,242.21465354901738,242.2270951679966,10.230686608032556,127.61085897297016,369.83795414096676,0.02766261951614908,0.080170972050267,inf,1045552,5531130,0.1890304512821069,0.084288645928751,0.1666192805166773
four_rooms,21,four_rooms_21,turn_articulation,turn_articulation,25,all_states,404,111,3.6396396396396398,6384,231661,0.012441618979210034,242.21465354901738,242.2270951679966,22.14141764503438,304.6505509939452,546.8776461619418,0.040486967789643113,0.0726780817326486,inf,2546816,13431000,0.1896222172585809,0.11414519557504206,0.2025776789683924
four_rooms,21,four_rooms_21,turn_articulation,turn_articulation,50,all_states,404,111,3.6396396396396398,6384,231661,0.012441618979210034,242.21465354901738,242.2270951679966,43.746410061983624,608.1136234639562,850.3407186319528,0.05144574298683924,0.07193788853601722,inf,4909408,25958460,0.18912554905029036,0.12096706924666785,0.22250290590682553
four_rooms,21,four_rooms_21,turn_articulation,turn_articulation,100,all_states,404,111,3.6396396396396398,6384,231661,0.012441618979210034,242.21465354901738,242.2270951679966,88.13366873707855,1217.4230551448127,1459.6501503128093,0.06037999497221381,0.07239362550645555,inf,9781648,51379680,0.19037969874471775,0.10040094858273658,0.22250290590682553
four_rooms,31,four_rooms_31,endpoints,endpoints,1,all_states,904,101,8.950495049504951,14384,222809,0.00014000400551594794,1433.3089540920046,1433.30909409601,2.170812377007678,10.891389650991186,1444.2004837470013,0.0015031239785874262,0.1993145453950516,inf,339904,666600,0.5099069906990699,0.08045968582273133,0.08045968582273133
four_rooms,31,four_rooms_31,endpoints,endpoints,5,all_states,904,101,8.950495049504951,14384,222809,0.00014000400551594794,1433.3089540920046,1433.30909409601,10.038549474993488,49.51055264801835,1482.8196467440284,0.006769905899909075,0.20275575484603844,inf,1605504,2898700,0.5538703556766826,0.08376024784353402,0.16707154954921322
four_rooms,31,four_rooms_31,endpoints,endpoints,10,all_states,904,101,8.950495049504951,14384,222809,0.00014000400551594794,1433.3089540920046,1433.30909409601,19.209668218012666,93.95238509401679,1527.2614791900269,0.01257785158583348,0.20446174089981675,inf,3095296,5585300,0.5541861672604873,0.14802754347340097,0.29018395521084983
four_rooms,31,four_rooms_31,endpoints,endpoints,25,all_states,904,101,8.950495049504951,14384,222809,0.00014000400551594794,1433.3089540920046,1433.30909409601,46.534541824046755,215.044620175031,1648.353714271041,0.02823091999075328,0.21639481976424685,inf,7485120,13261300,0.5644333511797486,0.1592449464403581,0.29018395521084983
four_rooms,31,four_rooms_31,endpoints,endpoints,50,all_states,904,101,8.950495049504951,14384,222809,0.00014000400551594794,1433.3089540920046,1433.30909409601,87.61342457405408,403.1172040279198,1836.4262981239299,0.04770865275865351,0.2173398299517527,inf,14355520,25674200,0.5591418622586098,0.15690419168937664,0.29018395521084983
four_rooms,31,four_rooms_31,endpoints,endpoints,100,all_states,904,101,8.950495049504951,14384,222809,0.00014000400551594794,1433.3089540920046,1433.30909409601,170.76780782808783,781.4196893119952,2214.7287834080053,0.0771055169858369,0.21853532763992828,inf,28627872,51247400,0.5586209641855001,0.125371133057647,0.29018395521084983
four_rooms,31,four_rooms_31,betweenness_sqrt,betweenness_31,1,all_states,904,126,7.174603174603175,14384,252891,2.3942530959902797,2622.444937830005,2624.8391909259954,1.9566550580202602,17.531167889013886,2642.3703588150092,0.0007404923581180863,0.11161008042404415,inf,339904,1039500,0.326987974987975,0.07999868017726186,0.07999868017726186
four_rooms,31,four_rooms_31,betweenness_sqrt,betweenness_31,5,all_states,904,126,7.174603174603175,14384,252891,2.3942530959902797,2622.444937830005,2624.8391909259954,9.090221190039301,78.69204811000964,2703.531239036005,0.003362351083200574,0.11551638835643704,inf,1605504,4740750,0.3386603385540263,0.07553314761606988,0.1450574800211264
four_rooms,31,four_rooms_31,betweenness_sqrt,betweenness_31,10,all_states,904,126,7.174603174603175,14384,252891,2.3942530959902797,2622.444937830005,2624.8391909259954,17.844657435052795,156.60363148900797,2781.4428224150033,0.006415611815294866,0.11394791592879067,inf,3095296,9182250,0.33709559203898826,0.13935164271509318,0.29018395521084983
four_rooms,31,four_rooms_31,betweenness_sqrt,betweenness_31,25,all_states,904,126,7.174603174603175,14384,252891,2.3942530959902797,2622.444937830005,2624.8391909259954,44.58774659005576,386.95641167709255,3011.795602603088,0.01480437336169781,0.11522679362466114,inf,7485120,21908250,0.34165759474170687,0.14897643716977943,0.29018395521084983
four_rooms,31,four_rooms_31,betweenness_sqrt,betweenness_31,50,all_states,904,126,7.174603174603175,14384,252891,2.3942530959902797,2622.444937830005,2624.8391909259954,86.72184848008328,754.3149856530945,3379.15417657909,0.025663773816877674,0.11496768608540704,inf,14355520,42099750,0.34098824814874196,0.14539055002862936,0.29018395521084983
