map,slip,gamma,candidate_kind,candidate_top_fraction,local_horizon,hidden_threshold,n_states,n_boundary,n_candidate_boundary,n_pair_options,n_edges_valid,invalid_hidden_count,hidden_mass_total,hidden_mass_max,feasible,start_value_smdp,start_value_primitive,start_gap,value_gap_max,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,target_policy_tv_total,target_policy_regions_total,split_candidate_state,split_candidate_coord,split_candidate_score,description_length_proxy,step,stop_reason
maze,0.0,0.97,turn_articulation,0.15,999.0,1e-06,81,19,30,342,333,9,9.0,1.0,True,-22.199077937496824,-22.199077937496824,0.0,1.3574015827385928,fb_000_to_001,22896.0,11106.0,66.94736842105263,32.473684210526315,1272.0,617.0,69,"(7, 7)",5.0,10527.826315789473,17,continue
maze,0.0,0.97,turn_articulation,0.15,999.0,1e-06,81,20,30,380,368,12,12.0,1.0,True,-22.199077937496824,-22.199077937496824,0.0,1.3574015827385928,fb_000_to_001,25498.0,12369.0,67.1,32.55,1342.0,651.0,45,"(5, 5)",7.0,11721.5,18,continue
maze,0.0,0.97,turn_articulation,0.15,999.0,1e-06,81,21,30,420,405,15,15.0,1.0,True,-22.199077937496824,-22.199077937496824,0.0,1.3574015827385928,fb_000_to_001,28160.0,13660.0,67.04761904761905,32.523809523809526,1408.0,683.0,68,"(7, 5)",9.0,12943.285714285714,19,continue
maze,0.0,0.97,turn_articulation,0.15,999.0,1e-06,81,22,30,462,446,16,16.0,1.0,True,-22.199077937496824,-22.199077937496824,0.0,1.3574015827385928,fb_000_to_001,30996.0,15036.0,67.0909090909091,32.54545454545455,1476.0,716.0,64,"(7, 1)",9.0,14244.572727272727,20,max_splits
maze,0.05,0.97,turn_articulation,0.15,999.0,1e-06,81,2,30,2,0,2,1.9999999999999996,0.9999999999999998,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,125.4666666666667,65.0,62.73333333333335,32.5,125.4666666666667,65.0,57,"(5, 19)",0.9827638342908979,61.69333333333334,0,continue
maze,0.05,0.97,turn_articulation,0.15,999.0,1e-06,81,3,30,6,1,5,3.017236260412788,0.9999999999999998,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,374.5333333333334,194.0,62.42222222222224,32.333333333333336,187.2666666666667,97.0,55,"(5, 17)",1.0,181.54000000000002,1,continue
maze,0.05,0.97,turn_articulation,0.15,999.0,1e-06,81,4,30,12,5,7,4.017544047424167,0.9999999999999998,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,752.8000000000001,390.0,62.73333333333334,32.5,250.9333333333334,130.0,4,"(1, 5)",1.9993844260355202,363.41,2,continue
maze,0.05,0.97,turn_articulation,0.15,999.0,1e-06,81,5,30,20,7,13,6.001231147928958,0.9999999052963129,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,1250.9333333333338,648.0,62.546666666666695,32.4,312.7333333333334,162.0,26,"(3, 5)",3.0003075028711783,601.5866666666668,3,continue
maze,0.05,0.97,turn_articulation,0.15,999.0,1e-06,81,6,30,30,14,16,7.000616142128321,0.9996923076923078,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,1882.0000000000007,975.0,62.733333333333356,32.5,376.4000000000001,195.0,35,"(3, 17)",2.999692307692308,903.7333333333335,4,continue
maze,0.05,0.97,turn_articulation,0.15,999.0,1e-06,81,7,30,42,23,19,8.000924023814246,0.9996923076923079,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,2629.2000000000003,1362.0,62.60000000000001,32.42857142857143,438.2000000000001,227.0,28,"(3, 7)",3.999384615384615,1261.2257142857143,5,continue
maze,0.05,0.97,turn_articulation,0.15,999.0,1e-06,81,8,30,56,34,22,9.001231905500171,0.9996923076923079,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,3513.0666666666675,1820.0,62.73333333333335,32.5,501.8666666666668,260.0,37,"(3, 19)",3.9996923076923085,1683.6633333333334,6,continue
maze,0.05,0.97,turn_articulation,0.15,999.0,1e-06,81,9,30,72,47,25,10.001539787186095,0.9996923076923075,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,4524.266666666667,2344.0,62.83703703703705,32.55555555555556,565.5333333333334,293.0,5,"(1, 7)",4.999384615384614,2166.6755555555555,7,continue
maze,0.05,0.97,turn_articulation,0.15,999.0,1e-06,81,10,30,90,66,24,11.000616426239409,0.9996923076923075,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,5629.200000000001,2916.0,62.546666666666674,32.4,625.4666666666667,324.0,16,"(1, 19)",4.999692307692307,2694.94,8,continue
maze,0.05,0.97,turn_articulation,0.15,999.0,1e-06,81,11,30,110,88,22,11.999385751828884,0.9996922130177601,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,6872.666666666668,3560.0,62.47878787878789,32.36363636363637,687.2666666666668,356.0,11,"(1, 13)",5.998153277931721,3289.0333333333338,9,continue
maze,0.05,0.97,turn_articulation,0.15,999.0,1e-06,81,12,30,132,103,29,13.00277150336626,0.9999999999708512,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,8219.200000000003,4257.0,62.26666666666669,32.25,747.1999999999999,387.0,32,"(3, 13)",6.001538934882002,3931.523333333334,10,continue
maze,0.05,0.97,turn_articulation,0.15,999.0,1e-06,81,13,30,156,124,32,14.001232663187936,0.9996923076923075,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,9730.400000000001,5040.0,62.374358974358984,32.30769230769231,810.8666666666667,420.0,12,"(1, 15)",6.9978454911243215,4652.418461538462,11,continue
maze,0.05,0.97,turn_articulation,0.15,999.0,1e-06,81,14,30,182,142,40,15.00523294689104,0.9999999052963131,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,11344.666666666668,5876.0,62.33333333333334,32.285714285714285,872.6666666666666,452.0,34,"(3, 15)",14.001538366659927,5422.176190476192,12,continue
maze,0.05,0.97,turn_articulation,0.15,999.0,1e-06,81,15,30,210,195,15,1.004002461917043,0.9827638342908979,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,13108.666666666668,6790.0,62.42222222222223,32.333333333333336,936.3333333333331,485.0,23,"(3, 1)",0.986765065060012,6265.233333333334,13,continue
maze,0.05,0.97,turn_articulation,0.15,999.0,1e-06,81,16,30,240,223,17,2.0378632968774437,0.9996923076923075,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,14999.999999999998,7770.0,62.49999999999999,32.375,1000.0000000000002,518.0,25,"(3, 3)",1.0209336870026524,7166.9375,14,continue
maze,0.05,0.97,turn_articulation,0.15,999.0,1e-06,81,17,30,272,253,19,5.00276505896682,0.9996923076923075,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,16988.800000000003,8800.0,62.458823529411774,32.35294117647059,1061.8000000000002,550.0,44,"(5, 3)",2.98614323607427,8115.242352941177,15,continue
maze,0.05,0.97,turn_articulation,0.15,999.0,1e-06,81,18,30,306,285,21,6.0366323382975775,0.9996923076923075,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,19132.933333333334,9911.0,62.52592592592593,32.388888888888886,1125.466666666667,583.0,42,"(5, 1)",3.0203183023872677,9137.220000000001,16,continue
maze,0.05,0.97,turn_articulation,0.15,999.0,1e-06,81,19,30,342,319,23,9.001534100386957,0.9996923076923078,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,21370.800000000003,11070.0,62.48771929824562,32.36842105263158,1187.2666666666669,615.0,64,"(7, 1)",4.985527851458886,10204.049473684212,17,continue
maze,0.05,0.97,turn_articulation,0.15,999.0,1e-06,81,20,30,380,368,12,10.031396923891657,0.9996922130177601,True,-23.01804904696107,-23.006540118833655,0.011508928127415885,6.84141281927495,fb_000_to_001,23767.733333333337,12312.0,62.546666666666674,32.4,1250.9333333333336,648.0,76,"(7, 15)",5.015697230797903,11346.946666666667,18,continue
maze,0.05,0.97,turn_articulation,0.15,999.0,1e-06,81,21,30,420,393,27,13.002155171801476,0.9999999052963129,False,nan,-23.006540118833655,inf,inf,INFEASIBLE,26292.0,13620.0,62.6,32.42857142857143,1314.6000000000004,681.0,54,"(5, 15)",6.986764496837892,12549.114285714286,19,continue
maze,0.05,0.97,turn_articulation,0.15,999.0,1e-06,81,22,30,462,445,17,14.030469397054402,0.9996922146500797,True,-23.01804904696107,-23.006540118833655,0.011508928127415885,6.84141281927495,fb_000_to_001,28904.4,14973.0,62.56363636363637,32.40909090909091,1376.4000000000005,713.0,68,"(7, 5)",7.01508165683342,13794.707272727273,20,max_splits
