option,src_state,src_coord,target_state,target_coord,primitive_distance,within_horizon,edge_valid,visible_mass,hidden_mass,hidden_gamma_mass,hidden_argmax_state,hidden_argmax_coord,hidden_argmax_prob,reward,map,slip,step
fb_005_to_002,50,"(5, 11)",24,"(3, 5)",8.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-5.567599835699999,four_rooms,0.0,4
fb_000_to_003,0,"(1, 1)",26,"(3, 7)",8.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-5.567599835699999,four_rooms,0.0,4
fb_001_to_003,4,"(1, 5)",26,"(3, 7)",4.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,four_rooms,0.0,4
fb_002_to_003,24,"(3, 5)",26,"(3, 7)",2.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,four_rooms,0.0,4
fb_004_to_003,46,"(5, 7)",26,"(3, 7)",2.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,four_rooms,0.0,4
fb_005_to_003,50,"(5, 11)",26,"(3, 7)",6.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-5.567599835699999,four_rooms,0.0,4
fb_000_to_004,0,"(1, 1)",46,"(5, 7)",10.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-5.567599835699999,four_rooms,0.0,4
fb_001_to_004,4,"(1, 5)",46,"(5, 7)",6.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,four_rooms,0.0,4
fb_002_to_004,24,"(3, 5)",46,"(5, 7)",4.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,four_rooms,0.0,4
fb_003_to_004,26,"(3, 7)",46,"(5, 7)",2.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,four_rooms,0.0,4
fb_005_to_004,50,"(5, 11)",46,"(5, 7)",4.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-3.8235729999999997,four_rooms,0.0,4
fb_000_to_005,0,"(1, 1)",50,"(5, 11)",14.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-5.567599835699999,four_rooms,0.0,4
fb_001_to_005,4,"(1, 5)",50,"(5, 11)",10.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,four_rooms,0.0,4
fb_002_to_005,24,"(3, 5)",50,"(5, 11)",8.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,four_rooms,0.0,4
fb_003_to_005,26,"(3, 7)",50,"(5, 11)",6.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-1.97,four_rooms,0.0,4
fb_004_to_005,46,"(5, 7)",50,"(5, 11)",4.0,True,True,1.0,0.0,0.0,5,"(1, 7)",0.0,-3.8235729999999997,four_rooms,0.0,4
