src_state,dst_state,src,dst,option,hit_probability,gamma_terminal,expected_tau,reward
42,44,"(5, 1)","(5, 3)",S,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
42,64,"(5, 1)","(7, 1)",S,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
44,25,"(5, 3)","(3, 3)",S,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.2760651437476627
44,42,"(5, 3)","(5, 1)",S,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
44,44,"(5, 3)","(5, 3)",S,0.9913793103448276,0.9572549925303162,1.2692653673163419,-1.2760651437476627
45,45,"(5, 5)","(5, 5)",S,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
45,47,"(5, 5)","(5, 7)",S,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
45,68,"(5, 5)","(7, 5)",S,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
47,45,"(5, 7)","(5, 5)",S,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.4710073112638407
47,47,"(5, 7)","(5, 7)",S,0.04971264367816092,0.03994795153209876,11.39864460833168,-2.4710073112638407
47,49,"(5, 7)","(5, 9)",S,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.4710073112638407
47,69,"(5, 7)","(7, 7)",S,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.4710073112638407
49,29,"(5, 9)","(3, 9)",S,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.2760651437476627
49,47,"(5, 9)","(5, 7)",S,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
49,49,"(5, 9)","(5, 9)",S,0.9913793103448276,0.9572549925303162,1.2692653673163419,-1.2760651437476627
50,31,"(5, 11)","(3, 11)",S,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.2760651437476627
50,50,"(5, 11)","(5, 11)",S,0.9913793103448276,0.9572549925303162,1.2692653673163419,-1.2760651437476627
50,52,"(5, 11)","(5, 13)",S,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
52,50,"(5, 13)","(5, 11)",S,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.4710073112638407
52,52,"(5, 13)","(5, 13)",S,0.04971264367816092,0.03994795153209876,11.39864460833168,-2.4710073112638407
52,54,"(5, 13)","(5, 15)",S,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.4710073112638407
52,75,"(5, 13)","(7, 13)",S,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.4710073112638407
54,52,"(5, 15)","(5, 13)",S,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
54,54,"(5, 15)","(5, 15)",S,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
54,76,"(5, 15)","(7, 15)",S,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
55,35,"(5, 17)","(3, 17)",S,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.2760651437476627
55,55,"(5, 17)","(5, 17)",S,0.9913793103448276,0.9572549925303162,1.2692653673163419,-1.2760651437476627
55,57,"(5, 17)","(5, 19)",S,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
57,55,"(5, 19)","(5, 17)",S,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
57,57,"(5, 19)","(5, 19)",S,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
57,80,"(5, 19)","(7, 19)",S,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
64,42,"(7, 1)","(5, 1)",S,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.3941044660400752
64,64,"(7, 1)","(7, 1)",S,0.9955459770114943,0.9575808821968212,1.89593462757725,-1.3941044660400752
64,68,"(7, 1)","(7, 5)",S,0.004166666666666671,0.00032588966650507856,151.00000000000009,-1.3941044660400752
68,45,"(7, 5)","(5, 5)",S,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.3941044660400752
68,64,"(7, 5)","(7, 1)",S,0.00416666666666667,0.00032588966650507856,151.00000000000009,-1.3941044660400752
68,68,"(7, 5)","(7, 5)",S,0.9955459770114943,0.9575808821968212,1.89593462757725,-1.3941044660400752
69,47,"(7, 7)","(5, 7)",S,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.4040519978894361
69,69,"(7, 7)","(7, 7)",S,0.9969348659003832,0.957582862820711,2.549471229028072,-1.4040519978894361
69,75,"(7, 7)","(7, 13)",S,0.002777777777777785,2.5483087134474105e-05,351.0000000000003,-1.4040519978894361
75,52,"(7, 13)","(5, 13)",S,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.4040519978894361
75,69,"(7, 13)","(7, 7)",S,0.0027777777777777844,2.5483087134474105e-05,351.00000000000034,-1.4040519978894361
75,75,"(7, 13)","(7, 13)",S,0.9969348659003832,0.957582862820711,2.5494712290280725,-1.4040519978894361
76,54,"(7, 15)","(5, 15)",S,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.3941044660400752
76,76,"(7, 15)","(7, 15)",S,0.9955459770114943,0.9575808821968212,1.89593462757725,-1.3941044660400752
76,80,"(7, 15)","(7, 19)",S,0.004166666666666671,0.00032588966650507856,151.00000000000006,-1.3941044660400752
80,57,"(7, 19)","(5, 19)",S,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.394104466040075
80,76,"(7, 19)","(7, 15)",S,0.00416666666666667,0.00032588966650507856,151.00000000000006,-1.394104466040075
80,80,"(7, 19)","(7, 19)",S,0.9955459770114943,0.9575808821968212,1.89593462757725,-1.394104466040075
0,0,"(1, 1)","(1, 1)",W,0.9916665782493369,0.9575079794120125,1.2701074020093335,-1.2766327906709591
0,23,"(1, 1)","(3, 1)",W,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2766327906709591
4,0,"(1, 5)","(1, 1)",W,0.9333334217506629,0.821954378631033,4.176021220159152,-4.055933876283502
4,4,"(1, 5)","(1, 5)",W,0.058333244916003536,0.052174646078679124,5.591832384708096,-4.055933876283502
4,26,"(1, 5)","(3, 5)",W,0.008333333333333335,0.00419295900178253,31.00000000000001,-4.055933876283502
5,5,"(1, 7)","(1, 7)",W,0.991666666639453,0.9575080477451262,1.2701080429023213,-1.2766331076879003
5,28,"(1, 7)","(3, 7)",W,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2766331076879003
11,5,"(1, 13)","(1, 7)",W,0.9333333333605466,0.7701012318666561,6.318877551395291,-5.784369823992275
11,11,"(1, 13)","(1, 13)",W,0.05833333330611963,0.05217471441179287,5.591836731355639,-5.784369823992275
11,32,"(1, 13)","(3, 13)",W,0.008333333333333335,0.00419295900178253,31.00000000000001,-5.784369823992275
12,12,"(1, 15)","(1, 15)",W,0.9916665782493369,0.9575079794120125,1.2701074020093335,-1.2766327906709591
12,34,"(1, 15)","(3, 15)",W,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2766327906709591
16,12,"(1, 19)","(1, 15)",W,0.9333334217506629,0.821954378631033,4.176021220159152,-4.055933876283502
16,16,"(1, 19)","(1, 19)",W,0.058333244916003536,0.052174646078679124,5.591832384708096,-4.055933876283502
16,37,"(1, 19)","(3, 19)",W,0.008333333333333335,0.00419295900178253,31.00000000000001,-4.055933876283502
23,0,"(3, 1)","(1, 1)",W,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
23,23,"(3, 1)","(3, 1)",W,0.9913793103448276,0.9572549925303162,1.2692653673163419,-1.2760651437476627
23,25,"(3, 1)","(3, 3)",W,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.2760651437476627
25,23,"(3, 3)","(3, 1)",W,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
25,25,"(3, 3)","(3, 3)",W,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
25,44,"(3, 3)","(5, 3)",W,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
26,4,"(3, 5)","(1, 5)",W,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
26,26,"(3, 5)","(3, 5)",W,0.9913793103448276,0.9572549925303162,1.2692653673163419,-1.2760651437476627
26,28,"(3, 5)","(3, 7)",W,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.2760651437476627
28,5,"(3, 7)","(1, 7)",W,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
28,26,"(3, 7)","(3, 5)",W,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
